k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
7,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,0,"0,1,2,3,4,5,6,7,8",0.6902874132804757,502
7,"[0, 1, 2, 3, 4, 5, 7]",7,2,"0,1,2,3,4,5,7",0.6890295036974918,128
7,"[0, 1, 2, 3, 4, 5, 7, 8]",8,1,"0,1,2,3,4,5,7,8",0.6887245559197988,255
7,"[0, 1, 2, 5, 6, 7, 8]",7,2,"0,1,2,5,6,7,8",0.6886864374475871,128
7,"[0, 1, 2, 4, 6, 7, 8]",7,2,"0,1,2,4,6,7,8",0.6886102005031638,128
7,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1,"0,1,2,3,4,5,6,7",0.6882671342532591,255
7,"[0, 1, 2, 4, 5, 6, 7]",7,2,"0,1,2,4,5,6,7",0.6881908973088359,128
7,"[0, 1, 2, 3, 5, 6, 7]",7,2,"0,1,2,3,5,6,7",0.6879621864755661,128
7,"[0, 1, 2, 3, 6, 7, 8]",7,2,"0,1,2,3,6,7,8",0.6878478310589311,128
7,"[0, 1, 2, 3, 5, 6, 7, 8]",8,1,"0,1,2,3,5,6,7,8",0.6878097125867195,255
7,"[0, 2, 3, 4, 5, 7, 8]",7,2,"0,2,3,4,5,7,8",0.6877334756422963,128
7,"[0, 2, 3, 4, 5, 6, 7]",7,2,"0,2,3,4,5,6,7",0.6874285278646032,128
7,"[0, 1, 2, 4, 5, 7, 8]",7,2,"0,1,2,4,5,7,8",0.6874285278646032,128
7,"[0, 1, 2, 3, 4, 6, 7]",7,2,"0,1,2,3,4,6,7",0.6873141724479683,128
7,"[0, 2, 4, 5, 6, 7, 8]",7,2,"0,2,4,5,6,7,8",0.6869711061980636,128
7,"[0, 1, 2, 3, 4, 6, 7, 8]",8,1,"0,1,2,3,4,6,7,8",0.6868567507814287,255
7,"[0, 2, 3, 4, 5, 6, 7, 8]",8,1,"0,2,3,4,5,6,7,8",0.686818632309217,255
7,"[0, 1, 2, 4, 5, 6, 7, 8]",8,1,"0,1,2,4,5,6,7,8",0.6866280399481589,255
7,"[0, 2, 3, 4, 6, 7, 8]",7,2,"0,2,3,4,6,7,8",0.686513684531524,128
7,"[0, 1, 2, 3, 4, 7, 8]",7,2,"0,1,2,3,4,7,8",0.6863230921704658,128
7,"[0, 1, 2, 3, 5, 7, 8]",7,2,"0,1,2,3,5,7,8",0.6861324998094076,128
7,"[0, 2, 3, 5, 6, 7, 8]",7,2,"0,2,3,5,6,7,8",0.6846458793931539,128
7,"[0, 1, 3, 4, 5, 6, 7, 8]",8,1,"0,1,3,4,5,6,7,8",0.6837691545322864,255
7,"[0, 1, 3, 4, 6, 7, 8]",7,2,"0,1,3,4,6,7,8",0.6835404436990166,128
7,"[0, 1, 3, 4, 5, 6, 7]",7,2,"0,1,3,4,5,6,7",0.6831973774491118,128
7,"[0, 1, 3, 5, 6, 7, 8]",7,2,"0,1,3,5,6,7,8",0.6820919417549745,128
7,"[0, 1, 4, 5, 6, 7, 8]",7,2,"0,1,4,5,6,7,8",0.6819775863383396,128
7,"[1, 2, 3, 4, 5, 6, 7, 8]",8,1,"1,2,3,4,5,6,7,8",0.6816726385606465,255
7,"[0, 3, 4, 5, 6, 7, 8]",7,2,"0,3,4,5,6,7,8",0.6813676907829535,128
7,"[1, 2, 3, 4, 6, 7, 8]",7,2,"1,2,3,4,6,7,8",0.6813295723107418,128
7,"[1, 2, 3, 5, 6, 7, 8]",7,2,"1,2,3,5,6,7,8",0.6809865060608371,128
7,"[1, 2, 3, 4, 5, 7, 8]",7,2,"1,2,3,4,5,7,8",0.6809483875886254,128
7,"[1, 3, 4, 5, 6, 7, 8]",7,2,"1,3,4,5,6,7,8",0.6803003735610277,128
7,"[0, 1, 3, 4, 5, 7, 8]",7,2,"0,1,3,4,5,7,8",0.6802241366166044,128
7,"[1, 2, 4, 5, 6, 7, 8]",7,2,"1,2,4,5,6,7,8",0.6800716627277579,128
7,"[1, 2, 3, 4, 5, 6, 7]",7,2,"1,2,3,4,5,6,7",0.6793855302279485,128
7,"[2, 3, 4, 5, 6, 7, 8]",7,2,"2,3,4,5,6,7,8",0.6793855302279485,128
7,"[0, 1, 2, 3, 4, 5, 6, 8]",8,1,"0,1,2,3,4,5,6,8",0.6240375085766563,255
7,"[0, 1, 2, 3, 4, 5, 8]",7,2,"0,1,2,3,4,5,8",0.6237325607989632,128
7,"[0, 1, 2, 3, 4, 6, 8]",7,2,"0,1,2,3,4,6,8",0.623541968437905,128
7,"[0, 1, 2, 3, 4, 5, 6]",7,2,"0,1,2,3,4,5,6",0.6225890066326142,128
7,"[0, 1, 2, 4, 5, 6, 8]",7,2,"0,1,2,4,5,6,8",0.6220553480216513,128
7,"[0, 2, 3, 4, 5, 6, 8]",7,2,"0,2,3,4,5,6,8",0.6155752077456735,128
7,"[0, 1, 3, 4, 5, 6, 8]",7,2,"0,1,3,4,5,6,8",0.6147747198292293,128
7,"[0, 1, 2, 3, 5, 6, 8]",7,2,"0,1,2,3,5,6,8",0.6145078905237478,128
7,"[1, 2, 3, 4, 5, 6, 8]",7,2,"1,2,3,4,5,6,8",0.5950674696958146,128
