k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
5,"[0, 1, 2, 4, 5]",5,2,"0,1,2,4,5",0.8629629629629629,32
5,"[1, 2, 4, 5, 6]",5,2,"1,2,4,5,6",0.8592592592592593,32
5,"[0, 1, 2, 3, 4]",5,2,"0,1,2,3,4",0.8555555555555555,32
5,"[0, 2, 3, 4, 5]",5,2,"0,2,3,4,5",0.8555555555555555,32
5,"[0, 2, 4, 5, 6]",5,2,"0,2,4,5,6",0.8555555555555555,32
5,"[0, 1, 4, 5, 6]",5,2,"0,1,4,5,6",0.8555555555555555,32
5,"[2, 3, 4, 5, 6]",5,2,"2,3,4,5,6",0.8555555555555555,32
5,"[0, 1, 2, 3, 6]",5,2,"0,1,2,3,6",0.8555555555555555,32
5,"[0, 2, 3, 5, 6]",5,2,"0,2,3,5,6",0.8555555555555555,32
5,"[0, 1, 2, 5, 6]",5,2,"0,1,2,5,6",0.8518518518518519,32
5,"[0, 1, 3, 4, 6]",5,2,"0,1,3,4,6",0.8518518518518519,32
5,"[1, 2, 3, 5, 6]",5,2,"1,2,3,5,6",0.8518518518518519,32
5,"[1, 2, 3, 4, 6]",5,2,"1,2,3,4,6",0.8518518518518519,32
5,"[1, 2, 3, 4, 5]",5,2,"1,2,3,4,5",0.8518518518518519,32
5,"[0, 1, 2, 3, 5]",5,2,"0,1,2,3,5",0.8518518518518519,32
5,"[0, 1, 3, 4, 5]",5,2,"0,1,3,4,5",0.8481481481481481,32
5,"[0, 1, 2, 4, 6]",5,2,"0,1,2,4,6",0.8481481481481481,32
5,"[0, 3, 4, 5, 6]",5,2,"0,3,4,5,6",0.8481481481481481,32
5,"[0, 2, 3, 4, 6]",5,2,"0,2,3,4,6",0.8481481481481481,32
5,"[0, 1, 3, 5, 6]",5,2,"0,1,3,5,6",0.8444444444444444,32
5,"[1, 3, 4, 5, 6]",5,2,"1,3,4,5,6",0.8444444444444444,32
5,"[0, 1, 2, 3, 4, 5]",6,1,"0,1,2,3,4,5",0.8111111111111111,63
5,"[0, 1, 2, 3, 5, 6]",6,1,"0,1,2,3,5,6",0.8111111111111111,63
5,"[0, 2, 3, 4, 5, 6]",6,1,"0,2,3,4,5,6",0.8074074074074075,63
5,"[1, 2, 3, 4, 5, 6]",6,1,"1,2,3,4,5,6",0.8037037037037037,63
5,"[0, 1, 3, 4, 5, 6]",6,1,"0,1,3,4,5,6",0.8037037037037037,63
5,"[0, 1, 2, 3, 4, 6]",6,1,"0,1,2,3,4,6",0.7925925925925926,63
5,"[0, 1, 2, 3, 4, 5, 6]",7,0,"0,1,2,3,4,5,6",0.7925925925925926,120
5,"[0, 1, 2, 4, 5, 6]",6,1,"0,1,2,4,5,6",0.7851851851851852,63
