k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
5,"[0, 1, 2, 3, 4, 5]",6,1,"0,1,2,3,4,5",0.9311926605504587,63
5,"[0, 2, 3, 4, 5]",5,2,"0,2,3,4,5",0.9288990825688074,32
5,"[1, 3, 4, 5, 6]",5,2,"1,3,4,5,6",0.9281345565749235,32
5,"[0, 1, 4, 5, 6]",5,2,"0,1,4,5,6",0.9273700305810397,32
5,"[0, 1, 3, 4, 5]",5,2,"0,1,3,4,5",0.9273700305810397,32
5,"[2, 3, 4, 5, 6]",5,2,"2,3,4,5,6",0.9273700305810397,32
5,"[0, 1, 3, 5, 6]",5,2,"0,1,3,5,6",0.9273700305810397,32
5,"[0, 1, 3, 4, 6]",5,2,"0,1,3,4,6",0.926605504587156,32
5,"[1, 2, 3, 4, 5]",5,2,"1,2,3,4,5",0.926605504587156,32
5,"[1, 2, 3, 5, 6]",5,2,"1,2,3,5,6",0.926605504587156,32
5,"[0, 2, 3, 4, 6]",5,2,"0,2,3,4,6",0.9258409785932722,32
5,"[0, 2, 3, 5, 6]",5,2,"0,2,3,5,6",0.9258409785932722,32
5,"[1, 2, 4, 5, 6]",5,2,"1,2,4,5,6",0.9258409785932722,32
5,"[0, 1, 2, 5, 6]",5,2,"0,1,2,5,6",0.9258409785932722,32
5,"[0, 1, 2, 4, 5]",5,2,"0,1,2,4,5",0.9258409785932722,32
5,"[0, 2, 4, 5, 6]",5,2,"0,2,4,5,6",0.9250764525993884,32
5,"[0, 1, 2, 3, 5]",5,2,"0,1,2,3,5",0.9250764525993884,32
5,"[0, 3, 4, 5, 6]",5,2,"0,3,4,5,6",0.9250764525993884,32
5,"[0, 1, 2, 4, 6]",5,2,"0,1,2,4,6",0.9243119266055045,32
5,"[0, 1, 2, 3, 6]",5,2,"0,1,2,3,6",0.9243119266055045,32
5,"[0, 1, 2, 3, 4]",5,2,"0,1,2,3,4",0.9243119266055045,32
5,"[1, 2, 3, 4, 6]",5,2,"1,2,3,4,6",0.9235474006116208,32
5,"[0, 1, 2, 3, 4, 6]",6,1,"0,1,2,3,4,6",0.9212538226299695,63
5,"[0, 2, 3, 4, 5, 6]",6,1,"0,2,3,4,5,6",0.9212538226299695,63
5,"[1, 2, 3, 4, 5, 6]",6,1,"1,2,3,4,5,6",0.9204892966360856,63
5,"[0, 1, 3, 4, 5, 6]",6,1,"0,1,3,4,5,6",0.9197247706422018,63
5,"[0, 1, 2, 3, 4, 5, 6]",7,0,"0,1,2,3,4,5,6",0.9143730886850153,120
5,"[0, 1, 2, 3, 5, 6]",6,1,"0,1,2,3,5,6",0.900611620795107,63
5,"[0, 1, 2, 4, 5, 6]",6,1,"0,1,2,4,5,6",0.8830275229357798,63
