k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
2,"[2, 3]",2,2,"2,3",1.0,4
2,"[1, 3]",2,2,"1,3",1.0,4
2,"[0, 3]",2,2,"0,3",1.0,4
2,"[0, 2, 3]",3,1,"0,2,3",0.9997253666783958,7
2,"[1, 2, 3]",3,1,"1,2,3",0.9995708854349934,7
2,"[0, 1, 2, 3]",4,0,"0,1,2,3",0.997124932414456,11
2,"[0, 1, 2]",3,1,"0,1,2",0.9862425870458895,7
2,"[1, 2]",2,2,"1,2",0.9777375363674594,4
2,"[0, 2]",2,2,"0,2",0.9705284116753491,4
2,"[0, 1, 3]",3,1,"0,1,3",0.9637827307134459,7
2,"[0, 1]",2,2,"0,1",0.9465409074914821,4
