k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
6,"[0, 1, 3, 4, 5, 7]",6,2,"0,1,3,4,5,7",0.8033333333333333,64
6,"[1, 2, 3, 5, 6, 7]",6,2,"1,2,3,5,6,7",0.8,64
6,"[1, 3, 4, 5, 6, 7]",6,2,"1,3,4,5,6,7",0.8,64
6,"[1, 2, 3, 4, 5, 7]",6,2,"1,2,3,4,5,7",0.7966666666666666,64
6,"[0, 1, 2, 4, 5, 7]",6,2,"0,1,2,4,5,7",0.7933333333333333,64
6,"[1, 2, 4, 5, 6, 7]",6,2,"1,2,4,5,6,7",0.7933333333333333,64
6,"[0, 1, 2, 3, 5, 6]",6,2,"0,1,2,3,5,6",0.7933333333333333,64
6,"[0, 1, 2, 3, 5, 7]",6,2,"0,1,2,3,5,7",0.79,64
6,"[0, 1, 3, 5, 6, 7]",6,2,"0,1,3,5,6,7",0.79,64
6,"[0, 1, 3, 4, 5, 6]",6,2,"0,1,3,4,5,6",0.7866666666666666,64
6,"[0, 1, 2, 5, 6, 7]",6,2,"0,1,2,5,6,7",0.78,64
6,"[1, 2, 3, 4, 6, 7]",6,2,"1,2,3,4,6,7",0.7766666666666666,64
6,"[0, 1, 2, 4, 5, 6]",6,2,"0,1,2,4,5,6",0.7766666666666666,64
6,"[0, 1, 2, 3, 4, 7]",6,2,"0,1,2,3,4,7",0.7766666666666666,64
6,"[0, 1, 2, 3, 4, 5]",6,2,"0,1,2,3,4,5",0.7733333333333333,64
6,"[0, 1, 2, 4, 6, 7]",6,2,"0,1,2,4,6,7",0.7666666666666667,64
6,"[0, 1, 2, 3, 4, 6]",6,2,"0,1,2,3,4,6",0.7666666666666667,64
6,"[1, 2, 3, 4, 5, 6]",6,2,"1,2,3,4,5,6",0.7566666666666667,64
6,"[0, 1, 4, 5, 6, 7]",6,2,"0,1,4,5,6,7",0.7566666666666667,64
6,"[0, 1, 2, 3, 6, 7]",6,2,"0,1,2,3,6,7",0.7566666666666667,64
6,"[0, 1, 3, 4, 6, 7]",6,2,"0,1,3,4,6,7",0.7533333333333333,64
6,"[0, 2, 4, 5, 6, 7]",6,2,"0,2,4,5,6,7",0.7533333333333333,64
6,"[0, 1, 3, 4, 5, 6, 7]",7,1,"0,1,3,4,5,6,7",0.75,127
6,"[0, 1, 2, 3, 4, 6, 7]",7,1,"0,1,2,3,4,6,7",0.75,127
6,"[0, 1, 2, 3, 4, 5, 7]",7,1,"0,1,2,3,4,5,7",0.7466666666666667,127
6,"[1, 2, 3, 4, 5, 6, 7]",7,1,"1,2,3,4,5,6,7",0.7433333333333333,127
6,"[0, 1, 2, 3, 4, 5, 6, 7]",8,0,"0,1,2,3,4,5,6,7",0.74,247
6,"[0, 1, 2, 3, 4, 5, 6]",7,1,"0,1,2,3,4,5,6",0.7366666666666667,127
6,"[2, 3, 4, 5, 6, 7]",6,2,"2,3,4,5,6,7",0.7366666666666667,64
6,"[0, 2, 3, 4, 5, 7]",6,2,"0,2,3,4,5,7",0.7333333333333333,64
6,"[0, 1, 2, 3, 5, 6, 7]",7,1,"0,1,2,3,5,6,7",0.72,127
6,"[0, 3, 4, 5, 6, 7]",6,2,"0,3,4,5,6,7",0.7166666666666667,64
6,"[0, 1, 2, 4, 5, 6, 7]",7,1,"0,1,2,4,5,6,7",0.7166666666666667,127
6,"[0, 2, 3, 5, 6, 7]",6,2,"0,2,3,5,6,7",0.71,64
6,"[0, 2, 3, 4, 6, 7]",6,2,"0,2,3,4,6,7",0.7,64
6,"[0, 2, 3, 4, 5, 6]",6,2,"0,2,3,4,5,6",0.7,64
6,"[0, 2, 3, 4, 5, 6, 7]",7,1,"0,2,3,4,5,6,7",0.68,127
