k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
3,"[0, 2, 3, 4, 5]",5,2,"0,2,3,4,5",0.9235474006116208,26
3,"[2, 3, 4, 5, 6]",5,2,"2,3,4,5,6",0.9204892966360856,26
3,"[1, 2, 3, 4, 5]",5,2,"1,2,3,4,5",0.918960244648318,26
3,"[0, 2, 3, 4, 6]",5,2,"0,2,3,4,6",0.918960244648318,26
3,"[0, 1, 2, 3, 4]",5,2,"0,1,2,3,4",0.9174311926605505,26
3,"[0, 1, 2, 3, 4, 5]",6,1,"0,1,2,3,4,5",0.9097859327217125,42
3,"[0, 2, 3, 4, 5, 6]",6,1,"0,2,3,4,5,6",0.9090214067278287,42
3,"[1, 3, 4, 5, 6]",5,2,"1,3,4,5,6",0.9013761467889908,26
3,"[0, 1, 3, 4, 6]",5,2,"0,1,3,4,6",0.8960244648318043,26
3,"[1, 2, 3, 4, 5, 6]",6,1,"1,2,3,4,5,6",0.8960244648318043,42
3,"[0, 1, 3, 4, 5]",5,2,"0,1,3,4,5",0.8944954128440367,26
3,"[0, 1, 2, 3, 4, 6]",6,1,"0,1,2,3,4,6",0.8937308868501529,42
3,"[1, 2, 3, 4, 6]",5,2,"1,2,3,4,6",0.886085626911315,26
3,"[0, 1, 2, 3, 4, 5, 6]",7,0,"0,1,2,3,4,5,6",0.8845565749235474,64
3,"[0, 1, 3, 4, 5, 6]",6,1,"0,1,3,4,5,6",0.8807339449541285,42
3,"[0, 3, 4, 5, 6]",5,2,"0,3,4,5,6",0.8738532110091743,26
3,"[0, 2, 3, 5, 6]",5,2,"0,2,3,5,6",0.8532110091743119,26
3,"[0, 2, 4, 5, 6]",5,2,"0,2,4,5,6",0.8532110091743119,26
3,"[1, 2, 3, 5, 6]",5,2,"1,2,3,5,6",0.849388379204893,26
3,"[0, 1, 2, 3, 6]",5,2,"0,1,2,3,6",0.8486238532110092,26
3,"[0, 1, 3, 5, 6]",5,2,"0,1,3,5,6",0.8448012232415902,26
3,"[0, 1, 2, 4, 6]",5,2,"0,1,2,4,6",0.8425076452599388,26
3,"[0, 1, 2, 3, 5, 6]",6,1,"0,1,2,3,5,6",0.8371559633027523,42
3,"[1, 2, 4, 5, 6]",5,2,"1,2,4,5,6",0.8348623853211009,26
3,"[0, 1, 2, 3, 5]",5,2,"0,1,2,3,5",0.8256880733944955,26
3,"[0, 1, 2, 4, 5, 6]",6,1,"0,1,2,4,5,6",0.8103975535168195,42
3,"[0, 1, 4, 5, 6]",5,2,"0,1,4,5,6",0.7951070336391437,26
3,"[0, 1, 2, 4, 5]",5,2,"0,1,2,4,5",0.7568807339449541,26
3,"[0, 1, 2, 5, 6]",5,2,"0,1,2,5,6",0.7553516819571865,26
