k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
1,"[2, 3]",2,2,"2,3",0.9996395437653944,3
1,"[1, 2, 3]",3,1,"1,2,3",0.9738926698650006,4
1,"[0, 1, 2, 3]",4,0,"0,1,2,3",0.9712149949793596,5
1,"[0, 2, 3]",3,1,"0,2,3",0.970133626275543,4
1,"[0, 1, 2]",3,1,"0,1,2",0.9527716509753774,4
1,"[0, 1]",2,2,"0,1",0.932946558072074,3
1,"[0, 2]",2,2,"0,2",0.9263467760622731,3
1,"[1, 2]",2,2,"1,2",0.9142199984551875,3
1,"[1, 3]",2,2,"1,3",0.9076802924844876,3
1,"[0, 1, 3]",3,1,"0,1,3",0.869995451385611,4
1,"[0, 3]",2,2,"0,3",0.8073876363511531,3
