k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
2,"[0, 1, 3, 4]",4,1,"0,1,3,4",1.0,11
2,"[0, 1, 2, 4]",4,1,"0,1,2,4",1.0,11
2,"[1, 3, 4]",3,2,"1,3,4",1.0,7
2,"[1, 2, 4]",3,2,"1,2,4",1.0,7
2,"[0, 1, 4]",3,2,"0,1,4",1.0,7
2,"[0, 2, 4]",3,2,"0,2,4",1.0,7
2,"[0, 3, 4]",3,2,"0,3,4",1.0,7
2,"[1, 2, 3, 4]",4,1,"1,2,3,4",0.9978118161925602,11
2,"[0, 1, 2, 3, 4]",5,0,"0,1,2,3,4",0.986870897155361,16
2,"[0, 2, 3, 4]",4,1,"0,2,3,4",0.986870897155361,11
2,"[2, 3, 4]",3,2,"2,3,4",0.8643326039387309,7
2,"[0, 1, 3]",3,2,"0,1,3",0.838074398249453,7
2,"[0, 2, 3]",3,2,"0,2,3",0.8161925601750547,7
2,"[0, 1, 2, 3]",4,1,"0,1,2,3",0.8030634573304157,11
2,"[0, 1, 2]",3,2,"0,1,2",0.774617067833698,7
2,"[1, 2, 3]",3,2,"1,2,3",0.5711159737417943,7
