k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
4,"[0, 1, 2, 3, 4, 7]",6,2,"0,1,2,3,4,7",0.7433333333333333,57
4,"[0, 1, 2, 4, 5, 7]",6,2,"0,1,2,4,5,7",0.7233333333333334,57
4,"[0, 1, 2, 3, 4, 5, 7]",7,1,"0,1,2,3,4,5,7",0.7166666666666667,99
4,"[1, 2, 3, 4, 6, 7]",6,2,"1,2,3,4,6,7",0.7166666666666667,57
4,"[0, 1, 3, 4, 5, 6]",6,2,"0,1,3,4,5,6",0.7066666666666667,57
4,"[0, 1, 2, 3, 5, 6]",6,2,"0,1,2,3,5,6",0.7066666666666667,57
4,"[0, 1, 2, 4, 6, 7]",6,2,"0,1,2,4,6,7",0.7066666666666667,57
4,"[0, 1, 2, 3, 5, 7]",6,2,"0,1,2,3,5,7",0.7066666666666667,57
4,"[0, 1, 2, 4, 5, 6]",6,2,"0,1,2,4,5,6",0.7066666666666667,57
4,"[1, 3, 4, 5, 6, 7]",6,2,"1,3,4,5,6,7",0.7033333333333334,57
4,"[0, 1, 3, 4, 6, 7]",6,2,"0,1,3,4,6,7",0.7033333333333334,57
4,"[0, 1, 2, 3, 4, 5]",6,2,"0,1,2,3,4,5",0.6966666666666667,57
4,"[0, 1, 2, 3, 4, 6]",6,2,"0,1,2,3,4,6",0.6933333333333334,57
4,"[1, 2, 4, 5, 6, 7]",6,2,"1,2,4,5,6,7",0.6933333333333334,57
4,"[0, 1, 4, 5, 6, 7]",6,2,"0,1,4,5,6,7",0.69,57
4,"[1, 2, 3, 4, 5, 6]",6,2,"1,2,3,4,5,6",0.69,57
4,"[0, 1, 2, 3, 4, 5, 6]",7,1,"0,1,2,3,4,5,6",0.69,99
4,"[0, 1, 2, 3, 6, 7]",6,2,"0,1,2,3,6,7",0.69,57
4,"[0, 1, 3, 4, 5, 6, 7]",7,1,"0,1,3,4,5,6,7",0.6866666666666666,99
4,"[1, 2, 3, 4, 5, 7]",6,2,"1,2,3,4,5,7",0.6866666666666666,57
4,"[0, 1, 2, 3, 4, 6, 7]",7,1,"0,1,2,3,4,6,7",0.6866666666666666,99
4,"[0, 1, 3, 5, 6, 7]",6,2,"0,1,3,5,6,7",0.6733333333333333,57
4,"[0, 1, 3, 4, 5, 7]",6,2,"0,1,3,4,5,7",0.6733333333333333,57
4,"[0, 1, 2, 4, 5, 6, 7]",7,1,"0,1,2,4,5,6,7",0.67,99
4,"[0, 1, 2, 3, 4, 5, 6, 7]",8,0,"0,1,2,3,4,5,6,7",0.6666666666666666,163
4,"[0, 1, 2, 5, 6, 7]",6,2,"0,1,2,5,6,7",0.6666666666666666,57
4,"[1, 2, 3, 4, 5, 6, 7]",7,1,"1,2,3,4,5,6,7",0.6633333333333333,99
4,"[0, 2, 4, 5, 6, 7]",6,2,"0,2,4,5,6,7",0.66,57
4,"[0, 2, 3, 4, 5, 6, 7]",7,1,"0,2,3,4,5,6,7",0.6566666666666666,99
4,"[1, 2, 3, 5, 6, 7]",6,2,"1,2,3,5,6,7",0.6533333333333333,57
4,"[0, 3, 4, 5, 6, 7]",6,2,"0,3,4,5,6,7",0.65,57
4,"[0, 1, 2, 3, 5, 6, 7]",7,1,"0,1,2,3,5,6,7",0.6466666666666666,99
4,"[2, 3, 4, 5, 6, 7]",6,2,"2,3,4,5,6,7",0.6466666666666666,57
4,"[0, 2, 3, 4, 6, 7]",6,2,"0,2,3,4,6,7",0.64,57
4,"[0, 2, 3, 4, 5, 7]",6,2,"0,2,3,4,5,7",0.64,57
4,"[0, 2, 3, 4, 5, 6]",6,2,"0,2,3,4,5,6",0.63,57
4,"[0, 2, 3, 5, 6, 7]",6,2,"0,2,3,5,6,7",0.5966666666666667,57
