k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
4,"[0, 1, 2, 3, 4, 6]",6,1,"0,1,2,3,4,6",0.8296296296296296,57
4,"[1, 2, 3, 4, 6]",5,2,"1,2,3,4,6",0.8296296296296296,31
4,"[1, 2, 3, 4, 5, 6]",6,1,"1,2,3,4,5,6",0.8222222222222222,57
4,"[0, 1, 2, 3, 6]",5,2,"0,1,2,3,6",0.8222222222222222,31
4,"[0, 1, 2, 3, 4, 5, 6]",7,0,"0,1,2,3,4,5,6",0.8185185185185185,99
4,"[1, 2, 3, 5, 6]",5,2,"1,2,3,5,6",0.8185185185185185,31
4,"[0, 1, 2, 3, 4, 5]",6,1,"0,1,2,3,4,5",0.8185185185185185,57
4,"[0, 1, 3, 5, 6]",5,2,"0,1,3,5,6",0.8185185185185185,31
4,"[0, 1, 3, 4, 5, 6]",6,1,"0,1,3,4,5,6",0.8185185185185185,57
4,"[0, 1, 3, 4, 5]",5,2,"0,1,3,4,5",0.8185185185185185,31
4,"[1, 2, 3, 4, 5]",5,2,"1,2,3,4,5",0.8148148148148148,31
4,"[1, 3, 4, 5, 6]",5,2,"1,3,4,5,6",0.8148148148148148,31
4,"[0, 2, 3, 4, 6]",5,2,"0,2,3,4,6",0.8148148148148148,31
4,"[2, 3, 4, 5, 6]",5,2,"2,3,4,5,6",0.8111111111111111,31
4,"[0, 2, 3, 5, 6]",5,2,"0,2,3,5,6",0.8111111111111111,31
4,"[0, 1, 2, 3, 5, 6]",6,1,"0,1,2,3,5,6",0.8074074074074075,57
4,"[0, 2, 3, 4, 5]",5,2,"0,2,3,4,5",0.8037037037037037,31
4,"[0, 1, 2, 3, 5]",5,2,"0,1,2,3,5",0.8037037037037037,31
4,"[0, 2, 3, 4, 5, 6]",6,1,"0,2,3,4,5,6",0.7962962962962963,57
4,"[0, 1, 2, 3, 4]",5,2,"0,1,2,3,4",0.7925925925925926,31
4,"[0, 1, 2, 4, 5, 6]",6,1,"0,1,2,4,5,6",0.7814814814814814,57
4,"[1, 2, 4, 5, 6]",5,2,"1,2,4,5,6",0.7814814814814814,31
4,"[0, 3, 4, 5, 6]",5,2,"0,3,4,5,6",0.7814814814814814,31
4,"[0, 2, 4, 5, 6]",5,2,"0,2,4,5,6",0.774074074074074,31
4,"[0, 1, 4, 5, 6]",5,2,"0,1,4,5,6",0.7703703703703704,31
4,"[0, 1, 3, 4, 6]",5,2,"0,1,3,4,6",0.7703703703703704,31
4,"[0, 1, 2, 5, 6]",5,2,"0,1,2,5,6",0.7703703703703704,31
4,"[0, 1, 2, 4, 5]",5,2,"0,1,2,4,5",0.7592592592592593,31
4,"[0, 1, 2, 4, 6]",5,2,"0,1,2,4,6",0.7481481481481481,31
