k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
1,"[0, 1, 2, 3, 4, 5]",6,1,"0,1,2,3,4,5",0.7958715596330275,7
1,"[0, 2, 3, 4, 5]",5,2,"0,2,3,4,5",0.7935779816513762,6
1,"[1, 2, 3, 4, 5]",5,2,"1,2,3,4,5",0.7928134556574924,6
1,"[0, 1, 2, 3, 4]",5,2,"0,1,2,3,4",0.790519877675841,6
1,"[0, 1, 3, 4, 5]",5,2,"0,1,3,4,5",0.7668195718654435,6
1,"[0, 1, 2, 3, 5]",5,2,"0,1,2,3,5",0.7668195718654435,6
1,"[0, 2, 3, 4, 5, 6]",6,1,"0,2,3,4,5,6",0.7477064220183486,7
1,"[0, 1, 2, 3, 4, 6]",6,1,"0,1,2,3,4,6",0.746177370030581,7
1,"[1, 2, 3, 4, 5, 6]",6,1,"1,2,3,4,5,6",0.7454128440366973,7
1,"[0, 1, 2, 3, 4, 5, 6]",7,0,"0,1,2,3,4,5,6",0.7446483180428135,8
1,"[2, 3, 4, 5, 6]",5,2,"2,3,4,5,6",0.7431192660550459,6
1,"[0, 2, 3, 4, 6]",5,2,"0,2,3,4,6",0.7415902140672783,6
1,"[0, 2, 3, 5, 6]",5,2,"0,2,3,5,6",0.7415902140672783,6
1,"[1, 2, 3, 5, 6]",5,2,"1,2,3,5,6",0.7400611620795107,6
1,"[0, 1, 2, 3, 6]",5,2,"0,1,2,3,6",0.7392966360856269,6
1,"[0, 1, 2, 3, 5, 6]",6,1,"0,1,2,3,5,6",0.7385321100917431,7
1,"[0, 1, 3, 5, 6]",5,2,"0,1,3,5,6",0.7347094801223242,6
1,"[0, 1, 3, 4, 5, 6]",6,1,"0,1,3,4,5,6",0.7324159021406728,7
1,"[0, 1, 2, 4, 6]",5,2,"0,1,2,4,6",0.7270642201834863,6
1,"[0, 3, 4, 5, 6]",5,2,"0,3,4,5,6",0.7255351681957186,6
1,"[1, 3, 4, 5, 6]",5,2,"1,3,4,5,6",0.7255351681957186,6
1,"[0, 1, 2, 4, 5, 6]",6,1,"0,1,2,4,5,6",0.7247706422018348,7
1,"[0, 1, 2, 5, 6]",5,2,"0,1,2,5,6",0.7247706422018348,6
1,"[0, 1, 3, 4, 6]",5,2,"0,1,3,4,6",0.7240061162079511,6
1,"[1, 2, 4, 5, 6]",5,2,"1,2,4,5,6",0.7240061162079511,6
1,"[0, 2, 4, 5, 6]",5,2,"0,2,4,5,6",0.7240061162079511,6
1,"[1, 2, 3, 4, 6]",5,2,"1,2,3,4,6",0.7125382262996942,6
1,"[0, 1, 4, 5, 6]",5,2,"0,1,4,5,6",0.7064220183486238,6
1,"[0, 1, 2, 4, 5]",5,2,"0,1,2,4,5",0.6039755351681957,6
