k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
2,"[0, 3]",2,2,"0,3",1.0,4
2,"[2, 3]",2,2,"2,3",1.0,4
2,"[1, 3]",2,2,"1,3",1.0,4
2,"[1, 2, 3]",3,1,"1,2,3",0.9998541010478977,7
2,"[0, 2, 3]",3,1,"0,2,3",0.9998369364652975,7
2,"[0, 1, 2, 3]",4,0,"0,1,2,3",0.9975454646881624,11
2,"[0, 1, 2]",3,1,"0,1,2",0.9895982629442408,7
2,"[1, 2]",2,2,"1,2",0.9778576884456612,4
2,"[0, 2]",2,2,"0,2",0.970459753344948,4
2,"[0, 1, 3]",3,1,"0,1,3",0.963327869274539,7
2,"[0, 1]",2,2,"0,1",0.9466181481131832,4
