k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
1,"[0, 1, 2, 3]",4,0,"0,1,2,3",0.7192982456140351,5
1,"[0, 2, 3]",3,1,"0,2,3",0.7192982456140351,4
1,"[0, 1, 3]",3,1,"0,1,3",0.7192982456140351,4
1,"[0, 2]",2,2,"0,2",0.695906432748538,3
1,"[0, 1, 2]",3,1,"0,1,2",0.695906432748538,4
1,"[0, 1]",2,2,"0,1",0.695906432748538,3
1,"[0, 3]",2,2,"0,3",0.6871345029239766,3
1,"[1, 2, 3]",3,1,"1,2,3",0.6842105263157895,4
1,"[2, 3]",2,2,"2,3",0.6842105263157895,3
1,"[1, 3]",2,2,"1,3",0.6842105263157895,3
1,"[1, 2]",2,2,"1,2",0.6081871345029239,3
