k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
3,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,0,"0,1,2,3,4,5,6,7,8",0.6904017686971107,130
3,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1,"0,1,2,3,4,5,6,7",0.6899443470305711,93
3,"[0, 1, 2, 3, 4, 6, 7]",7,2,"0,1,2,3,4,6,7",0.6894488068918198,64
3,"[0, 1, 2, 4, 5, 6, 7, 8]",8,1,"0,1,2,4,5,6,7,8",0.6891819775863384,93
3,"[0, 1, 2, 3, 5, 6, 7, 8]",8,1,"0,1,2,3,5,6,7,8",0.6890676221697034,93
3,"[0, 1, 2, 3, 4, 6, 7, 8]",8,1,"0,1,2,3,4,6,7,8",0.6887626743920103,93
3,"[0, 1, 2, 5, 6, 7, 8]",7,2,"0,1,2,5,6,7,8",0.6886864374475871,64
3,"[0, 1, 2, 3, 5, 6, 7]",7,2,"0,1,2,3,5,6,7",0.6886864374475871,64
3,"[0, 1, 2, 4, 6, 7, 8]",7,2,"0,1,2,4,6,7,8",0.6886483189753755,64
3,"[0, 1, 2, 3, 4, 5, 7, 8]",8,1,"0,1,2,3,4,5,7,8",0.6885720820309522,93
3,"[0, 2, 3, 4, 5, 6, 7, 8]",8,1,"0,2,3,4,5,6,7,8",0.6884196081421057,93
3,"[0, 2, 3, 4, 5, 6, 7]",7,2,"0,2,3,4,5,6,7",0.6882671342532591,64
3,"[0, 1, 2, 4, 5, 6, 7]",7,2,"0,1,2,4,5,6,7",0.6882671342532591,64
3,"[0, 1, 2, 3, 4, 5, 7]",7,2,"0,1,2,3,4,5,7",0.6880003049477776,64
3,"[0, 1, 2, 3, 6, 7, 8]",7,2,"0,1,2,3,6,7,8",0.6880003049477776,64
3,"[0, 2, 3, 4, 6, 7, 8]",7,2,"0,2,3,4,6,7,8",0.6879240680033544,64
3,"[0, 2, 3, 4, 5, 7, 8]",7,2,"0,2,3,4,5,7,8",0.6878097125867195,64
3,"[0, 1, 2, 3, 5, 7, 8]",7,2,"0,1,2,3,5,7,8",0.6873904093923916,64
3,"[0, 1, 2, 4, 5, 7, 8]",7,2,"0,1,2,4,5,7,8",0.6873904093923916,64
3,"[0, 2, 4, 5, 6, 7, 8]",7,2,"0,2,4,5,6,7,8",0.6863230921704658,64
3,"[0, 1, 2, 3, 4, 7, 8]",7,2,"0,1,2,3,4,7,8",0.6862087367538309,64
3,"[0, 2, 3, 5, 6, 7, 8]",7,2,"0,2,3,5,6,7,8",0.6859800259205611,64
3,"[0, 1, 4, 5, 6, 7, 8]",7,2,"0,1,4,5,6,7,8",0.682244415643821,64
3,"[0, 1, 3, 4, 6, 7, 8]",7,2,"0,1,3,4,6,7,8",0.6816345200884348,64
3,"[0, 1, 3, 4, 5, 7, 8]",7,2,"0,1,3,4,5,7,8",0.6813295723107418,64
3,"[0, 3, 4, 5, 6, 7, 8]",7,2,"0,3,4,5,6,7,8",0.6812914538385302,64
3,"[0, 1, 3, 4, 5, 6, 7, 8]",8,1,"0,1,3,4,5,6,7,8",0.6811770984218952,93
3,"[1, 2, 3, 4, 5, 7, 8]",7,2,"1,2,3,4,5,7,8",0.6807577952275673,64
3,"[1, 2, 3, 4, 5, 6, 7, 8]",8,1,"1,2,3,4,5,6,7,8",0.680681558283144,93
3,"[1, 2, 3, 5, 6, 7, 8]",7,2,"1,2,3,5,6,7,8",0.6806053213387208,64
3,"[0, 1, 3, 4, 5, 6, 7]",7,2,"0,1,3,4,5,6,7",0.6804147289776625,64
3,"[0, 1, 3, 5, 6, 7, 8]",7,2,"0,1,3,5,6,7,8",0.6803003735610277,64
3,"[1, 2, 3, 4, 6, 7, 8]",7,2,"1,2,3,4,6,7,8",0.680262255088816,64
3,"[1, 2, 4, 5, 6, 7, 8]",7,2,"1,2,4,5,6,7,8",0.6800335442555462,64
3,"[1, 3, 4, 5, 6, 7, 8]",7,2,"1,3,4,5,6,7,8",0.6799954257833346,64
3,"[2, 3, 4, 5, 6, 7, 8]",7,2,"2,3,4,5,6,7,8",0.6795761225890067,64
3,"[1, 2, 3, 4, 5, 6, 7]",7,2,"1,2,3,4,5,6,7",0.6794998856445834,64
3,"[0, 1, 2, 3, 4, 5, 6, 8]",8,1,"0,1,2,3,4,5,6,8",0.6265533277426241,93
3,"[0, 1, 2, 3, 4, 5, 8]",7,2,"0,1,2,3,4,5,8",0.6241137455210796,64
3,"[0, 1, 2, 3, 4, 6, 8]",7,2,"0,1,2,3,4,6,8",0.6237325607989632,64
3,"[0, 1, 2, 3, 4, 5, 6]",7,2,"0,1,2,3,4,5,6",0.6226271251048258,64
3,"[0, 1, 2, 4, 5, 6, 8]",7,2,"0,1,2,4,5,6,8",0.6225508881604025,64
3,"[0, 2, 3, 4, 5, 6, 8]",7,2,"0,2,3,4,5,6,8",0.6167187619120226,64
3,"[0, 1, 3, 4, 5, 6, 8]",7,2,"0,1,3,4,5,6,8",0.6143935351071129,64
3,"[0, 1, 2, 3, 5, 6, 8]",7,2,"0,1,2,3,5,6,8",0.6127544408020127,64
3,"[1, 2, 3, 4, 5, 6, 8]",7,2,"1,2,3,4,5,6,8",0.5912175040024396,64
