k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
3,"[0, 2, 3, 4, 5, 6]",6,1,"0,2,3,4,5,6",0.9327217125382263,42
3,"[0, 1, 2, 4, 5, 6]",6,1,"0,1,2,4,5,6",0.9319571865443425,42
3,"[0, 1, 3, 4, 5, 6]",6,1,"0,1,3,4,5,6",0.9319571865443425,42
3,"[2, 3, 4, 5, 6]",5,2,"2,3,4,5,6",0.9319571865443425,26
3,"[0, 1, 2, 3, 4, 5, 6]",7,0,"0,1,2,3,4,5,6",0.9311926605504587,64
3,"[0, 1, 2, 3, 5, 6]",6,1,"0,1,2,3,5,6",0.9311926605504587,42
3,"[0, 1, 3, 4, 5]",5,2,"0,1,3,4,5",0.9311926605504587,26
3,"[0, 2, 3, 4, 5]",5,2,"0,2,3,4,5",0.9311926605504587,26
3,"[0, 1, 4, 5, 6]",5,2,"0,1,4,5,6",0.9311926605504587,26
3,"[1, 2, 3, 4, 5]",5,2,"1,2,3,4,5",0.9304281345565749,26
3,"[1, 2, 3, 4, 6]",5,2,"1,2,3,4,6",0.9304281345565749,26
3,"[1, 2, 4, 5, 6]",5,2,"1,2,4,5,6",0.9304281345565749,26
3,"[0, 2, 4, 5, 6]",5,2,"0,2,4,5,6",0.9304281345565749,26
3,"[0, 1, 2, 5, 6]",5,2,"0,1,2,5,6",0.9304281345565749,26
3,"[0, 1, 2, 4, 6]",5,2,"0,1,2,4,6",0.9304281345565749,26
3,"[0, 3, 4, 5, 6]",5,2,"0,3,4,5,6",0.9304281345565749,26
3,"[0, 2, 3, 5, 6]",5,2,"0,2,3,5,6",0.9296636085626911,26
3,"[1, 3, 4, 5, 6]",5,2,"1,3,4,5,6",0.9296636085626911,26
3,"[0, 1, 3, 5, 6]",5,2,"0,1,3,5,6",0.9296636085626911,26
3,"[1, 2, 3, 5, 6]",5,2,"1,2,3,5,6",0.9296636085626911,26
3,"[1, 2, 3, 4, 5, 6]",6,1,"1,2,3,4,5,6",0.9288990825688074,42
3,"[0, 1, 2, 4, 5]",5,2,"0,1,2,4,5",0.9288990825688074,26
3,"[0, 1, 2, 3, 4, 5]",6,1,"0,1,2,3,4,5",0.9288990825688074,42
3,"[0, 1, 2, 3, 4, 6]",6,1,"0,1,2,3,4,6",0.9281345565749235,42
3,"[0, 2, 3, 4, 6]",5,2,"0,2,3,4,6",0.9281345565749235,26
3,"[0, 1, 3, 4, 6]",5,2,"0,1,3,4,6",0.9281345565749235,26
3,"[0, 1, 2, 3, 5]",5,2,"0,1,2,3,5",0.9273700305810397,26
3,"[0, 1, 2, 3, 4]",5,2,"0,1,2,3,4",0.9273700305810397,26
3,"[0, 1, 2, 3, 6]",5,2,"0,1,2,3,6",0.9235474006116208,26
