,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,shapley_stability,order2_stability,order3_stability,order4_stability,order5_stability,order6_stability,order7_stability,order8_stability,order9_stability,order10_stability,order11_stability,order12_stability,order13_stability,order14_stability,order15_stability
1,1,16,0.0009984970092773438,0.49333333333333335,,,,,0.9754598397373333,,,,,,,,,,,,,,
2,2,121,0.003998279571533203,0.7466666666666667,,,,,0.9836069287143195,,,,,,,,,,,,,,
3,3,576,0.029093027114868164,0.7733333333333333,,,,,0.9754213141287651,,,,,,,,,,,,,,
4,4,1941,0.14389610290527344,0.7566666666666667,,,,,0.9762076807671256,,,,,,,,,,,,,,
5,5,4944,0.4630131721496582,0.7666666666666667,,,,,0.9605432024971627,,,,,,,,,,,,,,
6,6,9949,1.4934437274932861,0.7633333333333333,,,,,0.9650045788316604,,,,,,,,,,,,,,
7,7,16384,4.828019857406616,0.7633333333333333,,,,,0.9611021177346684,,,,,,,,,,,,,,
8,8,22819,9.099565267562866,0.77,,,,,0.959936545479544,,,,,,,,,,,,,,
9,9,27824,16.55119490623474,0.7733333333333333,,,,,0.9600662806079305,,,,,,,,,,,,,,
10,10,30827,29.892693042755127,0.7766666666666666,,,,,0.9687735077401495,,,,,,,,,,,,,,
11,11,32192,40.19265174865723,0.7766666666666666,,,,,0.9630389065813636,,,,,,,,,,,,,,
12,12,32647,38.956740379333496,0.7766666666666666,,,,,0.9655051745719514,,,,,,,,,,,,,,
13,13,32752,49.511664390563965,0.7766666666666666,,,,,0.9642022522795807,,,,,,,,,,,,,,
14,14,32767,45.918063163757324,0.7766666666666666,,,,,0.9693427392443459,,,,,,,,,,,,,,
15,15,32768,63.25962567329407,0.7766666666666666,,,,,0.9655849000645207,,,,,,,,,,,,,,
