noise_level,phi_correlation,interaction_correlation
0.05,0.9978527634943787,1.0
0.05,0.9979920379496431,1.0
0.05,0.998535218498422,1.0
0.05,0.9988023616008339,1.0
0.05,0.9979576649563271,1.0
0.05,0.9972247867839106,0.9999999999999999
0.05,0.9983694193204277,1.0
0.05,0.9970881037161962,1.0
0.05,0.9961677152726173,1.0
0.05,0.9959503157443802,1.0
0.1,0.9935261025608358,1.0
0.1,0.9841743102587645,1.0
0.1,0.9924007366066798,1.0
0.1,0.986963795593436,-1.0
0.1,0.996196095170868,-1.0
0.1,0.9935699271060593,0.9999999999999999
0.1,0.992708026399502,1.0
0.1,0.9859201374372012,0.9999999999999998
0.1,0.9947055915795238,1.0
0.1,0.9884264219508433,0.9999999999999999
0.2,0.9687479674013576,1.0
0.2,0.9475684956631865,-1.0
0.2,0.9376598856550127,1.0
0.2,0.9556018657710543,1.0
0.2,0.9608529894615541,-1.0
0.2,0.9574698331494147,1.0
0.2,0.9441074026157308,1.0
0.2,0.9235904766628803,-1.0
0.2,0.9719368762764172,-1.0
0.2,0.908283135699169,1.0
0.3,0.9303101180561368,1.0
0.3,0.9213201543138418,1.0
0.3,0.9301535962794042,-0.9999999999999999
0.3,0.9410066622326966,-1.0
0.3,0.8822796326007125,-1.0
0.3,0.9629840177265785,1.0
0.3,0.9369951539681928,0.9999999999999999
0.3,0.8892853985237503,1.0
0.3,0.9616693810381157,-0.9999999999999998
0.3,0.8916834232137452,1.0
