dataset,accuracy_eff,noise_eff
banknotes,0.6425486044692343,0.6148901462522889
dados_covid_sbpo_atual,0.259821642466115,0.2528624907168258
diabetes,0.2680543207474065,0.26420533562898213
mammographic,0.5885635762773549,0.5527320839200041
pure_pairwise_interaction,0.3415847613147421,0.10851313320666543
raisin,0.39116090360261085,0.3821607412188339
rice,0.4290063383845208,0.4134390049160176
skin,0.8502741537276025,0.696787216827266
transfusion,0.5082666719471264,0.4876830228087061
triplet_interaction,0.3298059764418199,0.3298059764418199
