,k_value,n_params,train_time,baseline_accuracy,noise_0.1,noise_0.2,noise_0.3
1,1,16,0.007078886032104492,0.48333333333333334,0.4833333333333333,0.4833333333333333,0.4833333333333333
2,2,121,0.0111083984375,0.48333333333333334,0.4833333333333333,0.4833333333333333,0.4833333333333333
3,3,576,0.029185771942138672,0.48333333333333334,0.4833333333333333,0.4833333333333333,0.4833333333333333
4,4,1941,0.08410382270812988,0.48333333333333334,0.4833333333333333,0.4833333333333333,0.4833333333333333
5,5,4944,0.21515774726867676,0.48333333333333334,0.4833333333333333,0.4833333333333333,0.4833333333333333
6,6,9949,0.421445369720459,0.48333333333333334,0.4833333333333333,0.4833333333333333,0.4833333333333333
7,7,16384,0.681250810623169,0.48333333333333334,0.4833333333333333,0.4833333333333333,0.4833333333333333
8,8,22819,0.9429750442504883,0.48333333333333334,0.4833333333333333,0.4833333333333333,0.4833333333333333
9,9,27824,1.1636855602264404,0.48333333333333334,0.4833333333333333,0.4833333333333333,0.4833333333333333
10,10,30827,1.278233289718628,0.48333333333333334,0.4833333333333333,0.4833333333333333,0.4833333333333333
11,11,32192,1.3411974906921387,0.48333333333333334,0.4833333333333333,0.4833333333333333,0.4833333333333333
12,12,32647,1.3515129089355469,0.48333333333333334,0.4833333333333333,0.4833333333333333,0.4833333333333333
13,13,32752,1.4825654029846191,0.48333333333333334,0.4833333333333333,0.4833333333333333,0.4833333333333333
14,14,32767,3.004059314727783,0.48333333333333334,0.4833333333333333,0.4833333333333333,0.4833333333333333
15,15,32768,3.1229920387268066,0.48333333333333334,0.48533333333333334,0.472,0.47800000000000004
