k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
1,"[0, 1, 4]",3,2,"0,1,4",0.9846827133479212,4
1,"[1, 3, 4]",3,2,"1,3,4",0.9474835886214442,4
1,"[0, 3, 4]",3,2,"0,3,4",0.9474835886214442,4
1,"[0, 1, 3, 4]",4,1,"0,1,3,4",0.936542669584245,5
1,"[0, 1, 2, 4]",4,1,"0,1,2,4",0.8927789934354485,5
1,"[1, 2, 3, 4]",4,1,"1,2,3,4",0.8862144420131292,5
1,"[0, 1, 2, 3, 4]",5,0,"0,1,2,3,4",0.87527352297593,6
1,"[0, 2, 4]",3,2,"0,2,4",0.8665207877461707,4
1,"[1, 2, 4]",3,2,"1,2,4",0.8643326039387309,4
1,"[0, 2, 3, 4]",4,1,"0,2,3,4",0.8555798687089715,5
1,"[2, 3, 4]",3,2,"2,3,4",0.7964989059080962,4
1,"[0, 1, 3]",3,2,"0,1,3",0.7396061269146609,4
1,"[0, 2, 3]",3,2,"0,2,3",0.7199124726477024,4
1,"[0, 1, 2, 3]",4,1,"0,1,2,3",0.6980306345733042,5
1,"[0, 1, 2]",3,2,"0,1,2",0.6805251641137856,4
1,"[1, 2, 3]",3,2,"1,2,3",0.5864332603938731,4
