dataset,n_attr,best_k_accuracy,max_accuracy,best_k_noise,noise_robustness
dados_covid_sbpo_atual,9,6,0.695357170084623,8,0.6884424792254327
banknotes,5,3,1.0,4,0.999562363238512
transfusion,4,3,0.7076023391812866,4,0.695906432748538
mammographic,4,3,0.7937743190661478,4,0.7859922178988328
raisin,7,7,0.825925925925926,7,0.8111111111111111
rice,7,5,0.9166666666666666,7,0.8906727828746177
diabetes,8,4,0.6566666666666666,8,0.6486666666666666
skin,4,1,1.0,4,0.9959131128828774
pure_pairwise_interaction,15,13,0.5266666666666666,14,0.52
triplet_interaction,15,15,0.48333333333333334,15,0.48466666666666675
