k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
3,"[0, 1, 2, 3, 6]",5,2,"0,1,2,3,6",0.837037037037037,26
3,"[1, 2, 3, 4, 6]",5,2,"1,2,3,4,6",0.8074074074074075,26
3,"[1, 3, 4, 5, 6]",5,2,"1,3,4,5,6",0.7962962962962963,26
3,"[0, 1, 3, 5, 6]",5,2,"0,1,3,5,6",0.7962962962962963,26
3,"[1, 2, 3, 5, 6]",5,2,"1,2,3,5,6",0.7962962962962963,26
3,"[0, 1, 2, 3, 5]",5,2,"0,1,2,3,5",0.7925925925925926,26
3,"[0, 1, 3, 4, 5]",5,2,"0,1,3,4,5",0.7925925925925926,26
3,"[1, 2, 3, 4, 5]",5,2,"1,2,3,4,5",0.7888888888888889,26
3,"[0, 2, 3, 5, 6]",5,2,"0,2,3,5,6",0.7888888888888889,26
3,"[1, 2, 3, 4, 5, 6]",6,1,"1,2,3,4,5,6",0.7888888888888889,42
3,"[1, 2, 4, 5, 6]",5,2,"1,2,4,5,6",0.7851851851851852,26
3,"[0, 1, 2, 3, 4, 5]",6,1,"0,1,2,3,4,5",0.7851851851851852,42
3,"[0, 1, 2, 3, 5, 6]",6,1,"0,1,2,3,5,6",0.7851851851851852,42
3,"[0, 1, 2, 5, 6]",5,2,"0,1,2,5,6",0.7851851851851852,26
3,"[0, 1, 2, 4, 5]",5,2,"0,1,2,4,5",0.7851851851851852,26
3,"[0, 1, 4, 5, 6]",5,2,"0,1,4,5,6",0.7777777777777778,26
3,"[0, 1, 2, 3, 4]",5,2,"0,1,2,3,4",0.7777777777777778,26
3,"[2, 3, 4, 5, 6]",5,2,"2,3,4,5,6",0.7777777777777778,26
3,"[0, 1, 2, 3, 4, 5, 6]",7,0,"0,1,2,3,4,5,6",0.774074074074074,64
3,"[0, 3, 4, 5, 6]",5,2,"0,3,4,5,6",0.774074074074074,26
3,"[0, 1, 3, 4, 5, 6]",6,1,"0,1,3,4,5,6",0.774074074074074,42
3,"[0, 2, 4, 5, 6]",5,2,"0,2,4,5,6",0.774074074074074,26
3,"[0, 2, 3, 4, 6]",5,2,"0,2,3,4,6",0.7666666666666667,26
3,"[0, 1, 2, 4, 5, 6]",6,1,"0,1,2,4,5,6",0.7666666666666667,42
3,"[0, 1, 2, 3, 4, 6]",6,1,"0,1,2,3,4,6",0.7592592592592593,42
3,"[0, 2, 3, 4, 5, 6]",6,1,"0,2,3,4,5,6",0.7555555555555555,42
3,"[0, 2, 3, 4, 5]",5,2,"0,2,3,4,5",0.7481481481481481,26
3,"[0, 1, 3, 4, 6]",5,2,"0,1,3,4,6",0.7222222222222222,26
3,"[0, 1, 2, 4, 6]",5,2,"0,1,2,4,6",0.6592592592592592,26
