,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,16,0.00500035285949707,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4673333333333334,0.4686666666666667
2,2,121,0.00599980354309082,0.4666666666666667,0.4666666666666667,0.4680000000000001,0.46799999999999997,0.46799999999999997
3,3,576,0.008998394012451172,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4686666666666667,0.46733333333333327
4,4,1941,0.018605709075927734,0.4666666666666667,0.46733333333333327,0.4673333333333334,0.46733333333333327,0.46799999999999997
5,5,4944,0.0332341194152832,0.4666666666666667,0.4666666666666667,0.46799999999999997,0.46866666666666673,0.46799999999999997
6,6,9949,0.062079429626464844,0.4666666666666667,0.4666666666666667,0.46799999999999997,0.4693333333333333,0.4706666666666667
7,7,16384,0.0953829288482666,0.4666666666666667,0.4666666666666667,0.4680000000000001,0.47133333333333327,0.4706666666666667
8,8,22819,0.1878361701965332,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.46799999999999997,0.4673333333333334
9,9,27824,0.22362089157104492,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4673333333333334,0.4666666666666667
10,10,30827,0.24755191802978516,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.46799999999999997,0.4666666666666667
11,11,32192,0.2609596252441406,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.466,0.466
12,12,32647,0.26729536056518555,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4686666666666667,0.4666666666666666
13,13,32752,0.26520514488220215,0.4666666666666667,0.4653333333333333,0.4666666666666667,0.46399999999999997,0.46399999999999997
14,14,32767,0.264556884765625,0.47,0.46733333333333327,0.4686666666666667,0.4666666666666666,0.4633333333333334
15,15,32768,0.26529645919799805,0.48333333333333334,0.47333333333333333,0.4833333333333333,0.48,0.48466666666666675
