k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
2,"[0, 1, 2, 3, 4, 7, 8]",7,2,"0,1,2,3,4,7,8",0.6785469238392925,29
2,"[1, 2, 3, 4, 6, 7, 8]",7,2,"1,2,3,4,6,7,8",0.6758405123122665,29
2,"[0, 1, 2, 3, 4, 6, 7, 8]",8,1,"0,1,2,3,4,6,7,8",0.6748113135625524,37
2,"[0, 1, 2, 4, 6, 7, 8]",7,2,"0,1,2,4,6,7,8",0.6736296409239918,29
2,"[0, 1, 2, 4, 5, 7, 8]",7,2,"0,1,2,4,5,7,8",0.669550964397347,29
2,"[0, 1, 2, 3, 5, 7, 8]",7,2,"0,1,2,3,5,7,8",0.6694747274529237,29
2,"[0, 1, 3, 4, 6, 7, 8]",7,2,"0,1,3,4,6,7,8",0.6692841350918656,29
2,"[1, 2, 3, 4, 5, 7, 8]",7,2,"1,2,3,4,5,7,8",0.6689791873141725,29
2,"[1, 2, 3, 5, 6, 7, 8]",7,2,"1,2,3,5,6,7,8",0.6687885949531143,29
2,"[0, 1, 2, 3, 4, 6, 7]",7,2,"0,1,2,3,4,6,7",0.6686361210642677,29
2,"[0, 1, 2, 3, 6, 7, 8]",7,2,"0,1,2,3,6,7,8",0.6668826713425325,29
2,"[0, 1, 2, 3, 4, 5, 7]",7,2,"0,1,2,3,4,5,7",0.6661584203705115,29
2,"[0, 2, 3, 4, 6, 7, 8]",7,2,"0,2,3,4,6,7,8",0.6655866432873371,29
2,"[0, 1, 3, 4, 5, 7, 8]",7,2,"0,1,3,4,5,7,8",0.6655485248151254,29
2,"[1, 2, 3, 4, 5, 6, 7, 8]",8,1,"1,2,3,4,5,6,7,8",0.6647480368986811,37
2,"[0, 1, 2, 3, 4, 5, 7, 8]",8,1,"0,1,2,3,4,5,7,8",0.6645955630098346,37
2,"[1, 2, 4, 5, 6, 7, 8]",7,2,"1,2,4,5,6,7,8",0.6642143782877182,29
2,"[0, 2, 3, 4, 5, 7, 8]",7,2,"0,2,3,4,5,7,8",0.663299534954639,29
2,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,0,"0,1,2,3,4,5,6,7,8",0.6632232980102157,46
2,"[0, 1, 2, 4, 5, 6, 7, 8]",8,1,"0,1,2,4,5,6,7,8",0.6608980712053061,37
2,"[0, 1, 2, 5, 6, 7, 8]",7,2,"0,1,2,5,6,7,8",0.6605550049554014,29
2,"[0, 1, 2, 3, 5, 6, 7, 8]",8,1,"0,1,2,3,5,6,7,8",0.6604025310665549,37
2,"[0, 1, 4, 5, 6, 7, 8]",7,2,"0,1,4,5,6,7,8",0.6601738202332851,29
2,"[2, 3, 4, 5, 6, 7, 8]",7,2,"2,3,4,5,6,7,8",0.6596782800945338,29
2,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1,"0,1,2,3,4,5,6,7",0.6592589769002059,37
2,"[1, 2, 3, 4, 5, 6, 7]",7,2,"1,2,3,4,5,6,7",0.6584203705115499,29
2,"[0, 2, 4, 5, 6, 7, 8]",7,2,"0,2,4,5,6,7,8",0.6584203705115499,29
2,"[0, 2, 3, 4, 5, 6, 7, 8]",8,1,"0,2,3,4,5,6,7,8",0.6565906838453914,37
2,"[0, 2, 3, 5, 6, 7, 8]",7,2,"0,2,3,5,6,7,8",0.648928870930853,29
2,"[0, 1, 3, 5, 6, 7, 8]",7,2,"0,1,3,5,6,7,8",0.64862392315316,29
2,"[0, 1, 3, 4, 5, 6, 7, 8]",8,1,"0,1,3,4,5,6,7,8",0.6479377906533507,37
2,"[1, 3, 4, 5, 6, 7, 8]",7,2,"1,3,4,5,6,7,8",0.6473278950979645,29
2,"[0, 3, 4, 5, 6, 7, 8]",7,2,"0,3,4,5,6,7,8",0.6449645498208432,29
2,"[0, 1, 3, 4, 5, 6, 7]",7,2,"0,1,3,4,5,6,7",0.6396279637112144,29
2,"[0, 2, 3, 4, 5, 6, 7]",7,2,"0,2,3,4,5,6,7",0.6342913776015857,29
2,"[0, 1, 2, 3, 5, 6, 7]",7,2,"0,1,2,3,5,6,7",0.6304032934359991,29
2,"[0, 1, 2, 4, 5, 6, 7]",7,2,"0,1,2,4,5,6,7",0.6263246169093543,29
2,"[0, 1, 2, 3, 4, 6, 8]",7,2,"0,1,2,3,4,6,8",0.6201875428832813,29
2,"[0, 1, 2, 3, 4, 5, 8]",7,2,"0,1,2,3,4,5,8",0.6172524205229855,29
2,"[0, 1, 2, 3, 4, 5, 6, 8]",8,1,"0,1,2,3,4,5,6,8",0.6143172981626897,37
2,"[0, 1, 2, 3, 4, 5, 6]",7,2,"0,1,2,3,4,5,6",0.6097049630250819,29
2,"[0, 1, 2, 4, 5, 6, 8]",7,2,"0,1,2,4,5,6,8",0.6094762521918121,29
2,"[0, 1, 2, 3, 5, 6, 8]",7,2,"0,1,2,3,5,6,8",0.6094762521918121,29
2,"[0, 1, 3, 4, 5, 6, 8]",7,2,"0,1,3,4,5,6,8",0.5991461462224594,29
2,"[0, 2, 3, 4, 5, 6, 8]",7,2,"0,2,3,4,5,6,8",0.5954105359457192,29
2,"[1, 2, 3, 4, 5, 6, 8]",7,2,"1,2,3,4,5,6,8",0.5767706030342303,29
