k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
2,"[0, 1, 2, 3, 4]",5,2,"0,1,2,3,4",0.8074074074074075,16
2,"[1, 2, 3, 4, 5]",5,2,"1,2,3,4,5",0.8,16
2,"[0, 1, 2, 3, 5]",5,2,"0,1,2,3,5",0.7962962962962963,16
2,"[0, 2, 3, 5, 6]",5,2,"0,2,3,5,6",0.7925925925925926,16
2,"[2, 3, 4, 5, 6]",5,2,"2,3,4,5,6",0.7888888888888889,16
2,"[1, 2, 4, 5, 6]",5,2,"1,2,4,5,6",0.7888888888888889,16
2,"[0, 1, 2, 5, 6]",5,2,"0,1,2,5,6",0.7888888888888889,16
2,"[0, 1, 3, 4, 5]",5,2,"0,1,3,4,5",0.7888888888888889,16
2,"[0, 1, 4, 5, 6]",5,2,"0,1,4,5,6",0.7851851851851852,16
2,"[0, 2, 3, 4, 6]",5,2,"0,2,3,4,6",0.7814814814814814,16
2,"[0, 1, 2, 3, 4, 5]",6,1,"0,1,2,3,4,5",0.7814814814814814,22
2,"[0, 1, 2, 4, 5]",5,2,"0,1,2,4,5",0.7814814814814814,16
2,"[0, 3, 4, 5, 6]",5,2,"0,3,4,5,6",0.7777777777777778,16
2,"[0, 2, 3, 4, 5, 6]",6,1,"0,2,3,4,5,6",0.7703703703703704,22
2,"[0, 1, 2, 4, 5, 6]",6,1,"0,1,2,4,5,6",0.7703703703703704,22
2,"[0, 2, 4, 5, 6]",5,2,"0,2,4,5,6",0.7703703703703704,16
2,"[0, 1, 3, 5, 6]",5,2,"0,1,3,5,6",0.7666666666666667,16
2,"[1, 3, 4, 5, 6]",5,2,"1,3,4,5,6",0.7666666666666667,16
2,"[0, 1, 2, 3, 5, 6]",6,1,"0,1,2,3,5,6",0.7555555555555555,22
2,"[1, 2, 3, 5, 6]",5,2,"1,2,3,5,6",0.7555555555555555,16
2,"[0, 1, 3, 4, 5, 6]",6,1,"0,1,3,4,5,6",0.7555555555555555,22
2,"[0, 2, 3, 4, 5]",5,2,"0,2,3,4,5",0.7518518518518519,16
2,"[0, 1, 2, 3, 6]",5,2,"0,1,2,3,6",0.7518518518518519,16
2,"[1, 2, 3, 4, 5, 6]",6,1,"1,2,3,4,5,6",0.7518518518518519,22
2,"[0, 1, 2, 3, 4, 6]",6,1,"0,1,2,3,4,6",0.7518518518518519,22
2,"[1, 2, 3, 4, 6]",5,2,"1,2,3,4,6",0.7444444444444445,16
2,"[0, 1, 2, 3, 4, 5, 6]",7,0,"0,1,2,3,4,5,6",0.7444444444444445,29
2,"[0, 1, 2, 4, 6]",5,2,"0,1,2,4,6",0.7148148148148148,16
2,"[0, 1, 3, 4, 6]",5,2,"0,1,3,4,6",0.6666666666666666,16
