k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
3,"[0, 2, 3, 4, 5]",5,2,"0,2,3,4,5",0.926605504587156,26
3,"[0, 2, 3, 4, 6]",5,2,"0,2,3,4,6",0.9250764525993884,26
3,"[0, 1, 2, 3, 4]",5,2,"0,1,2,3,4",0.9235474006116208,26
3,"[2, 3, 4, 5, 6]",5,2,"2,3,4,5,6",0.9220183486238532,26
3,"[1, 2, 3, 4, 5]",5,2,"1,2,3,4,5",0.9212538226299695,26
3,"[0, 2, 3, 4, 5, 6]",6,1,"0,2,3,4,5,6",0.9204892966360856,42
3,"[1, 2, 3, 4, 5, 6]",6,1,"1,2,3,4,5,6",0.9151376146788991,42
3,"[0, 1, 2, 3, 4, 6]",6,1,"0,1,2,3,4,6",0.9151376146788991,42
3,"[0, 1, 2, 3, 4, 5]",6,1,"0,1,2,3,4,5",0.9151376146788991,42
3,"[0, 1, 2, 3, 4, 5, 6]",7,0,"0,1,2,3,4,5,6",0.9136085626911316,64
3,"[1, 3, 4, 5, 6]",5,2,"1,3,4,5,6",0.9059633027522935,26
3,"[0, 1, 3, 4, 6]",5,2,"0,1,3,4,6",0.900611620795107,26
3,"[0, 1, 3, 4, 5]",5,2,"0,1,3,4,5",0.8975535168195719,26
3,"[0, 1, 3, 4, 5, 6]",6,1,"0,1,3,4,5,6",0.8960244648318043,42
3,"[1, 2, 3, 4, 6]",5,2,"1,2,3,4,6",0.8960244648318043,26
3,"[0, 3, 4, 5, 6]",5,2,"0,3,4,5,6",0.8891437308868502,26
3,"[0, 2, 3, 5, 6]",5,2,"0,2,3,5,6",0.8799694189602446,26
3,"[1, 2, 3, 5, 6]",5,2,"1,2,3,5,6",0.8769113149847095,26
3,"[0, 1, 2, 4, 6]",5,2,"0,1,2,4,6",0.8707951070336392,26
3,"[0, 1, 2, 3, 5]",5,2,"0,1,2,3,5",0.8692660550458715,26
3,"[1, 2, 4, 5, 6]",5,2,"1,2,4,5,6",0.867737003058104,26
3,"[0, 1, 2, 3, 6]",5,2,"0,1,2,3,6",0.8662079510703364,26
3,"[0, 2, 4, 5, 6]",5,2,"0,2,4,5,6",0.8623853211009175,26
3,"[0, 1, 2, 3, 5, 6]",6,1,"0,1,2,3,5,6",0.8608562691131498,42
3,"[0, 1, 3, 5, 6]",5,2,"0,1,3,5,6",0.8547400611620795,26
3,"[0, 1, 2, 4, 5, 6]",6,1,"0,1,2,4,5,6",0.8325688073394495,42
3,"[0, 1, 4, 5, 6]",5,2,"0,1,4,5,6",0.8134556574923547,26
3,"[0, 1, 2, 4, 5]",5,2,"0,1,2,4,5",0.7759938837920489,26
3,"[0, 1, 2, 5, 6]",5,2,"0,1,2,5,6",0.764525993883792,26
