dataset,n_attr,best_k_accuracy,max_accuracy,best_k_noise,noise_robustness
dados_covid_sbpo_atual,9,6,0.6942517343904856,5,0.6788518716169856
banknotes,5,2,1.0,4,0.9986870897155361
transfusion,4,4,0.7280701754385965,3,0.7011695906432748
mammographic,4,4,0.8093385214007782,4,0.8140077821011673
raisin,7,5,0.8592592592592593,2,0.7488888888888889
rice,7,5,0.9281345565749235,7,0.8642201834862385
diabetes,8,8,0.78,8,0.734
skin,4,1,1.0,4,0.9957483328899149
pure_pairwise_interaction,15,15,0.6,12,0.5886666666666667
triplet_interaction,15,12,0.5166666666666667,12,0.5366666666666667
