,k_value,n_params,train_time,baseline_accuracy,noise_0.1,noise_0.2,noise_0.3
1,1,16,0.009948015213012695,0.49666666666666665,0.4886666666666667,0.5033333333333333,0.5133333333333333
2,2,121,0.3499290943145752,0.5033333333333333,0.5113333333333334,0.5066666666666667,0.5073333333333333
3,3,576,1.5289280414581299,0.5466666666666666,0.514,0.516,0.5386666666666666
4,4,1941,5.2312304973602295,0.5066666666666667,0.5193333333333333,0.5026666666666667,0.5206666666666666
5,5,4944,13.544008731842041,0.51,0.5073333333333333,0.5146666666666666,0.5226666666666666
6,6,9949,27.380143880844116,0.5133333333333333,0.524,0.526,0.5246666666666666
7,7,16384,45.130032777786255,0.5166666666666667,0.5106666666666667,0.51,0.5213333333333333
8,8,22819,63.057114124298096,0.54,0.5306666666666666,0.5493333333333333,0.54
9,9,27824,77.32289791107178,0.5633333333333334,0.532,0.5386666666666666,0.5353333333333333
10,10,30827,86.09544253349304,0.55,0.548,0.562,0.5479999999999999
11,11,32192,90.06162285804749,0.5533333333333333,0.546,0.5666666666666667,0.5673333333333332
12,12,32647,91.34134912490845,0.59,0.5780000000000001,0.576,0.566
13,13,32752,92.05076670646667,0.5866666666666667,0.594,0.5846666666666667,0.5953333333333333
14,14,32767,90.84953498840332,0.5833333333333334,0.5813333333333334,0.5740000000000001,0.5706666666666667
15,15,32768,91.109050989151,0.6,0.5813333333333333,0.5733333333333334,0.5813333333333333
