k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
3,"[0, 1, 3, 4, 5, 6]",6,1,"0,1,3,4,5,6",0.8296296296296296,42
3,"[1, 2, 3, 4, 6]",5,2,"1,2,3,4,6",0.8296296296296296,26
3,"[1, 2, 3, 4, 5, 6]",6,1,"1,2,3,4,5,6",0.825925925925926,42
3,"[0, 1, 2, 3, 4, 6]",6,1,"0,1,2,3,4,6",0.8222222222222222,42
3,"[0, 1, 2, 3, 4, 5, 6]",7,0,"0,1,2,3,4,5,6",0.8222222222222222,64
3,"[0, 1, 2, 3, 4, 5]",6,1,"0,1,2,3,4,5",0.8185185185185185,42
3,"[0, 1, 2, 3, 5, 6]",6,1,"0,1,2,3,5,6",0.8185185185185185,42
3,"[0, 1, 3, 5, 6]",5,2,"0,1,3,5,6",0.8185185185185185,26
3,"[0, 2, 3, 5, 6]",5,2,"0,2,3,5,6",0.8185185185185185,26
3,"[0, 1, 3, 4, 5]",5,2,"0,1,3,4,5",0.8185185185185185,26
3,"[0, 1, 2, 3, 6]",5,2,"0,1,2,3,6",0.8185185185185185,26
3,"[1, 3, 4, 5, 6]",5,2,"1,3,4,5,6",0.8148148148148148,26
3,"[1, 2, 3, 4, 5]",5,2,"1,2,3,4,5",0.8148148148148148,26
3,"[0, 2, 3, 4, 6]",5,2,"0,2,3,4,6",0.8111111111111111,26
3,"[0, 2, 3, 4, 5, 6]",6,1,"0,2,3,4,5,6",0.8074074074074075,42
3,"[2, 3, 4, 5, 6]",5,2,"2,3,4,5,6",0.8074074074074075,26
3,"[1, 2, 3, 5, 6]",5,2,"1,2,3,5,6",0.8037037037037037,26
3,"[0, 2, 3, 4, 5]",5,2,"0,2,3,4,5",0.8,26
3,"[0, 1, 2, 3, 5]",5,2,"0,1,2,3,5",0.8,26
3,"[0, 3, 4, 5, 6]",5,2,"0,3,4,5,6",0.7962962962962963,26
3,"[1, 2, 4, 5, 6]",5,2,"1,2,4,5,6",0.7925925925925926,26
3,"[0, 1, 2, 4, 5]",5,2,"0,1,2,4,5",0.7925925925925926,26
3,"[0, 1, 2, 3, 4]",5,2,"0,1,2,3,4",0.7888888888888889,26
3,"[0, 1, 4, 5, 6]",5,2,"0,1,4,5,6",0.7851851851851852,26
3,"[0, 1, 2, 4, 5, 6]",6,1,"0,1,2,4,5,6",0.7777777777777778,42
3,"[0, 1, 2, 5, 6]",5,2,"0,1,2,5,6",0.7777777777777778,26
3,"[0, 1, 3, 4, 6]",5,2,"0,1,3,4,6",0.7777777777777778,26
3,"[0, 2, 4, 5, 6]",5,2,"0,2,4,5,6",0.7666666666666667,26
3,"[0, 1, 2, 4, 6]",5,2,"0,1,2,4,6",0.7296296296296296,26
