,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,16,0.015128374099731445,0.49,0.48200000000000004,0.48,0.48599999999999993,0.49866666666666665
2,2,121,0.34439945220947266,0.5033333333333333,0.5073333333333333,0.49800000000000005,0.4873333333333333,0.4966666666666667
3,3,576,1.5350632667541504,0.4866666666666667,0.4926666666666667,0.4873333333333333,0.504,0.4873333333333333
4,4,1941,5.114907741546631,0.44,0.438,0.46533333333333343,0.4766666666666667,0.4793333333333333
5,5,4944,13.439543962478638,0.45,0.45533333333333326,0.4646666666666667,0.4813333333333333,0.5053333333333334
6,6,9949,26.784640789031982,0.45,0.46399999999999997,0.47800000000000004,0.48933333333333334,0.48533333333333334
7,7,16384,44.425413846969604,0.44666666666666666,0.4693333333333333,0.4753333333333333,0.4953333333333333,0.49333333333333335
8,8,22819,61.426218032836914,0.48,0.4986666666666667,0.4953333333333333,0.5193333333333333,0.5233333333333332
9,9,27824,75.92851328849792,0.48,0.4720000000000001,0.504,0.5046666666666667,0.5113333333333333
10,10,30827,83.08529329299927,0.49333333333333335,0.48600000000000004,0.5033333333333333,0.5226666666666666,0.516
11,11,32192,88.41074824333191,0.49666666666666665,0.5,0.5086666666666667,0.5239999999999999,0.5053333333333334
12,12,32647,90.13258123397827,0.5166666666666667,0.508,0.5106666666666666,0.508,0.5366666666666667
13,13,32752,88.78111219406128,0.4866666666666667,0.496,0.5159999999999999,0.518,0.5106666666666666
14,14,32767,89.10703444480896,0.49333333333333335,0.4906666666666667,0.5093333333333333,0.5033333333333333,0.5006666666666667
15,15,32768,91.34445452690125,0.49333333333333335,0.5006666666666667,0.5113333333333333,0.5093333333333333,0.5086666666666667
