,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,16,0.0030031204223632812,0.49,0.48933333333333334,0.4906666666666667,0.492,0.4806666666666667
2,2,121,0.21075153350830078,0.7466666666666667,0.7493333333333333,0.7386666666666667,0.7293333333333334,0.7233333333333333
3,3,576,2.3158366680145264,0.7533333333333333,0.764,0.762,0.7406666666666667,0.7293333333333334
4,4,1941,7.254122257232666,0.7266666666666667,0.7313333333333334,0.7226666666666668,0.7153333333333334,0.704
5,5,4944,19.14187455177307,0.6966666666666667,0.704,0.6926666666666668,0.6946666666666667,0.6766666666666666
6,6,9949,39.387991189956665,0.6733333333333333,0.6759999999999999,0.6686666666666666,0.6706666666666667,0.6599999999999999
7,7,16384,65.01653933525085,0.6633333333333333,0.6606666666666667,0.6593333333333333,0.65,0.652
8,8,22819,90.673095703125,0.6533333333333333,0.6566666666666667,0.6493333333333333,0.6459999999999999,0.6439999999999999
9,9,27824,110.72764992713928,0.6533333333333333,0.6433333333333333,0.642,0.6380000000000001,0.6246666666666666
10,10,30827,122.99466180801392,0.6466666666666666,0.642,0.6300000000000001,0.6386666666666667,0.6293333333333333
11,11,32192,127.70666170120239,0.6466666666666666,0.6433333333333333,0.64,0.64,0.628
12,12,32647,129.35207080841064,0.6466666666666666,0.6373333333333334,0.6393333333333334,0.6233333333333333,0.6166666666666667
13,13,32752,129.24802088737488,0.6466666666666666,0.6433333333333333,0.642,0.6453333333333333,0.6233333333333334
14,14,32767,129.61295437812805,0.6466666666666666,0.642,0.6300000000000001,0.6433333333333334,0.6286666666666667
15,15,32768,130.49459767341614,0.6466666666666666,0.638,0.6373333333333333,0.6379999999999999,0.6306666666666667
