,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,16,0.0020029544830322266,0.5166666666666667,0.5186666666666667,0.5246666666666667,0.5353333333333333,0.5333333333333333
2,2,121,0.10601520538330078,0.5166666666666667,0.5166666666666667,0.5199999999999999,0.5253333333333333,0.5233333333333332
3,3,576,2.269414186477661,0.5533333333333333,0.5513333333333332,0.5439999999999999,0.5566666666666666,0.538
4,4,1941,7.29789137840271,0.5266666666666666,0.5326666666666666,0.5386666666666666,0.5526666666666666,0.526
5,5,4944,18.891279220581055,0.5433333333333333,0.5426666666666666,0.544,0.5446666666666667,0.55
6,6,9949,38.05262780189514,0.5466666666666666,0.5473333333333333,0.5453333333333333,0.5413333333333333,0.5293333333333334
7,7,16384,70.22033095359802,0.5366666666666666,0.532,0.5466666666666666,0.5306666666666666,0.5346666666666666
8,8,22819,86.85703182220459,0.53,0.5366666666666667,0.5393333333333332,0.544,0.5286666666666665
9,9,27824,107.24256896972656,0.54,0.5446666666666667,0.55,0.5399999999999999,0.5353333333333333
10,10,30827,118.24516439437866,0.5466666666666666,0.5526666666666668,0.5533333333333333,0.5519999999999999,0.5406666666666666
11,11,32192,122.64912462234497,0.5466666666666666,0.5473333333333332,0.554,0.5333333333333333,0.5346666666666666
12,12,32647,125.08103561401367,0.5433333333333333,0.548,0.5466666666666667,0.5353333333333333,0.5353333333333334
13,13,32752,124.92979645729065,0.5433333333333333,0.5513333333333333,0.5346666666666666,0.5413333333333334,0.5453333333333333
14,14,32767,125.2545530796051,0.5433333333333333,0.5506666666666666,0.5486666666666667,0.5313333333333333,0.544
15,15,32768,126.62561702728271,0.5433333333333333,0.5486666666666667,0.5533333333333333,0.5453333333333333,0.53
