dataset,n_attr,best_k_accuracy,max_accuracy,best_k_noise,noise_robustness
dados_covid_sbpo_atual,9,5,0.6944423267515438,5,0.6884577266143173
banknotes,5,1,1.0,1,0.999562363238512
transfusion,4,2,0.7192982456140351,2,0.7140350877192982
mammographic,4,3,0.8054474708171206,3,0.8038910505836576
raisin,7,1,0.8592592592592593,3,0.8496296296296297
rice,7,1,0.9250764525993884,1,0.917125382262997
diabetes,8,4,0.79,4,0.768
skin,4,1,1.0,1,0.9997442477192561
pure_pairwise_interaction,15,3,0.76,3,0.7286666666666667
triplet_interaction,15,5,0.5566666666666666,5,0.5526666666666666
