dataset,accuracy_eff,noise_eff
banknotes,0.8304820237218405,0.830118574258505
dados_covid_sbpo_atual,0.26778469818002754,0.26547696969093626
diabetes,0.35298647284145646,0.34315646980030196
mammographic,0.5761674076287789,0.5750540406575155
pure_pairwise_interaction,0.2745766301476639,0.2632563655714006
raisin,0.6845200988358653,0.4545341386309827
rice,0.7369526926133515,0.7306185537677492
skin,0.8502741537276025,0.850056694173529
transfusion,0.5440082809854815,0.5400277325880267
triplet_interaction,0.1506558309023757,0.1495732740336161
