dataset,accuracy_eff,noise_eff
banknotes,0.8304820237218405,0.830118574258505
dados_covid_sbpo_atual,0.26788759053304434,0.3930926229990111
diabetes,0.35149707844128153,0.31527621546832957
mammographic,0.6179917550912226,0.5752813530152479
pure_pairwise_interaction,0.2878237482688231,0.35391465178355835
raisin,0.6845200988358653,0.6249196419544667
rice,0.45441687321191093,0.4024349249372643
skin,0.8502741537276025,0.8499340995255951
transfusion,0.5506425283145727,0.5391431662774812
triplet_interaction,0.175264916829068,0.21123131985921162
