,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,16,0.0021386146545410156,0.49333333333333335,0.49333333333333335,0.4926666666666667,0.49000000000000005,0.4833333333333333
2,2,121,0.34938549995422363,0.77,0.768,0.7713333333333334,0.7606666666666666,0.7493333333333333
3,3,576,1.7075743675231934,0.7966666666666666,0.7953333333333333,0.7946666666666665,0.77,0.742
4,4,1941,5.108737468719482,0.76,0.7566666666666666,0.7646666666666666,0.7413333333333333,0.7286666666666667
5,5,4944,13.317639589309692,0.7533333333333333,0.7473333333333333,0.744,0.728,0.7266666666666668
6,6,9949,27.621030807495117,0.7166666666666667,0.7313333333333333,0.7193333333333334,0.7073333333333334,0.6786666666666666
7,7,16384,45.34429693222046,0.71,0.7120000000000001,0.7046666666666667,0.6953333333333334,0.6666666666666667
8,8,22819,64.32995772361755,0.6966666666666667,0.694,0.7026666666666668,0.694,0.6866666666666668
9,9,27824,77.71126437187195,0.6933333333333334,0.6886666666666665,0.6900000000000001,0.6793333333333333,0.6933333333333334
10,10,30827,85.6025800704956,0.6933333333333334,0.6859999999999999,0.6833333333333333,0.6859999999999999,0.6933333333333332
11,11,32192,89.59933757781982,0.6933333333333334,0.6946666666666668,0.6826666666666666,0.6906666666666667,0.6793333333333333
12,12,32647,91.26987481117249,0.6933333333333334,0.6900000000000001,0.6886666666666666,0.6819999999999999,0.6633333333333333
13,13,32752,91.13036775588989,0.6933333333333334,0.6886666666666666,0.6839999999999999,0.6966666666666667,0.658
14,14,32767,90.4958336353302,0.6933333333333334,0.6873333333333334,0.6873333333333334,0.6733333333333333,0.6599999999999999
15,15,32768,90.92357397079468,0.6933333333333334,0.6866666666666666,0.6806666666666666,0.6873333333333334,0.6633333333333333
