dataset,accuracy_eff,noise_eff
banknotes,0.8304820237218405,0.6160483210529383
dados_covid_sbpo_atual,0.256545944966143,0.25413084394174595
diabetes,0.34256071204023203,0.3815509722165894
mammographic,0.612106119328449,0.5778374580856739
pure_pairwise_interaction,0.22085405704472155,0.19125171348086015
raisin,0.547036472640155,0.4022673405332291
rice,0.7369526926133515,0.7304967434053337
skin,0.8502741537276025,0.850056694173529
transfusion,0.5373740336563902,0.5065933660312512
triplet_interaction,0.17019945680510654,0.1256393841095697
