,k_value,n_params,train_time,baseline_accuracy,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.0009984970092773438,0.49666666666666665,0.48200000000000004,0.49000000000000005,0.48600000000000004,0.4935,0.032873494895837685
2,2,121,0.001999378204345703,0.71,0.7060000000000001,0.6886666666666666,0.6873333333333334,0.71175,0.02740754660875561
3,3,576,0.02408456802368164,0.72,0.7033333333333334,0.6926666666666667,0.686,0.7161666666666666,0.029055024426843015
4,4,1941,0.1345679759979248,0.7266666666666667,0.7313333333333333,0.714,0.71,0.7245833333333335,0.02732583738678266
5,5,4944,0.5734612941741943,0.7133333333333334,0.7166666666666666,0.7066666666666668,0.6966666666666668,0.7200833333333333,0.026792541457983744
6,6,9949,2.047417402267456,0.7166666666666667,0.7140000000000001,0.6966666666666667,0.7026666666666667,0.7150833333333333,0.024549977370435364
7,7,16384,6.140702247619629,0.7133333333333334,0.7086666666666668,0.7046666666666666,0.6806666666666665,0.7149999999999999,0.03085584763595604
8,8,22819,14.0875084400177,0.7066666666666667,0.7033333333333334,0.692,0.6726666666666666,0.7126666666666667,0.027143650782048046
9,9,27824,26.626394271850586,0.7033333333333334,0.6913333333333334,0.704,0.6753333333333333,0.7058333333333333,0.026496855159307744
10,10,30827,43.10103106498718,0.7033333333333334,0.7,0.6893333333333334,0.6866666666666668,0.7072499999999999,0.027154521825205384
11,11,32192,60.25359106063843,0.7033333333333334,0.6893333333333335,0.6893333333333334,0.6746666666666667,0.7041666666666666,0.02242270674512285
12,12,32647,66.72948789596558,0.7066666666666667,0.6906666666666667,0.6873333333333334,0.672,0.7063333333333331,0.025634178572973832
13,13,32752,73.83075308799744,0.7066666666666667,0.6966666666666667,0.68,0.678,0.7055833333333333,0.02864546211880688
14,14,32767,75.5303885936737,0.7066666666666667,0.7066666666666668,0.6913333333333334,0.6766666666666666,0.7025,0.02719528145346787
15,15,32768,76.52093768119812,0.7066666666666667,0.694,0.6933333333333334,0.6826666666666666,0.6994166666666668,0.030912173977253685
