,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,16,0.0010063648223876953,0.52,0.5226666666666666,0.5193333333333333,0.5246666666666666,0.5293333333333333
2,2,121,0.003001689910888672,0.5166666666666667,0.522,0.522,0.5286666666666667,0.5246666666666666
3,3,576,0.026229381561279297,0.54,0.5406666666666666,0.532,0.5426666666666666,0.534
4,4,1941,0.14420771598815918,0.56,0.554,0.5453333333333333,0.5413333333333334,0.5546666666666666
5,5,4944,0.5941002368927002,0.5466666666666666,0.5433333333333333,0.542,0.546,0.5513333333333333
6,6,9949,2.091219663619995,0.5433333333333333,0.5433333333333333,0.5446666666666666,0.5486666666666666,0.5439999999999999
7,7,16384,6.256166696548462,0.53,0.5326666666666667,0.5473333333333332,0.554,0.5513333333333333
8,8,22819,13.954474449157715,0.5266666666666666,0.5373333333333334,0.534,0.5466666666666666,0.5626666666666666
9,9,27824,27.30651092529297,0.53,0.5353333333333332,0.5453333333333333,0.5319999999999999,0.55
10,10,30827,42.454344511032104,0.5333333333333333,0.5373333333333333,0.55,0.5633333333333332,0.536
11,11,32192,58.0490038394928,0.5333333333333333,0.5406666666666666,0.5386666666666666,0.5526666666666668,0.5446666666666666
12,12,32647,66.84898495674133,0.5333333333333333,0.534,0.5439999999999999,0.5446666666666666,0.5386666666666666
13,13,32752,74.69776225090027,0.5333333333333333,0.5373333333333333,0.5546666666666666,0.5553333333333333,0.5486666666666666
14,14,32767,72.68809986114502,0.5333333333333333,0.5326666666666666,0.5433333333333332,0.55,0.5673333333333334
15,15,32768,78.36012959480286,0.5333333333333333,0.5313333333333333,0.5433333333333332,0.5313333333333333,0.564
