k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
2,"[0, 1, 3, 4]",4,1,"0,1,3,4",1.0,11
2,"[0, 1, 2, 4]",4,1,"0,1,2,4",1.0,11
2,"[1, 3, 4]",3,2,"1,3,4",1.0,7
2,"[1, 2, 4]",3,2,"1,2,4",1.0,7
2,"[0, 1, 4]",3,2,"0,1,4",1.0,7
2,"[0, 2, 4]",3,2,"0,2,4",1.0,7
2,"[0, 3, 4]",3,2,"0,3,4",1.0,7
2,"[1, 2, 3, 4]",4,1,"1,2,3,4",0.9934354485776805,11
2,"[0, 1, 2, 3, 4]",5,0,"0,1,2,3,4",0.9781181619256017,16
2,"[0, 2, 3, 4]",4,1,"0,2,3,4",0.975929978118162,11
2,"[2, 3, 4]",3,2,"2,3,4",0.8599562363238512,7
2,"[0, 1, 3]",3,2,"0,1,3",0.8424507658643327,7
2,"[0, 1, 2, 3]",4,1,"0,1,2,3",0.8183807439824945,11
2,"[0, 2, 3]",3,2,"0,2,3",0.8074398249452954,7
2,"[0, 1, 2]",3,2,"0,1,2",0.774617067833698,7
2,"[1, 2, 3]",3,2,"1,2,3",0.5711159737417943,7
