,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.014058589935302734,0.43333333333333335,0.43533333333333335,0.43599999999999994,0.43933333333333335,0.438,0.4355833333333333,0.02685105522445378
2,2,121,0.014092206954956055,0.43,0.43266666666666664,0.43666666666666665,0.438,0.43533333333333335,0.4376666666666667,0.027700782179088973
3,3,576,0.019510269165039062,0.43,0.43133333333333335,0.43200000000000005,0.43933333333333335,0.434,0.4286666666666667,0.036186630434764465
4,4,1941,0.029578447341918945,0.43,0.43066666666666664,0.43466666666666665,0.4373333333333334,0.44266666666666665,0.43433333333333335,0.028632731852433042
5,5,4944,0.05489373207092285,0.43,0.43,0.43466666666666665,0.438,0.43600000000000005,0.4321666666666667,0.033799243910018
6,6,9949,0.09571409225463867,0.43,0.43133333333333335,0.434,0.43999999999999995,0.43933333333333335,0.4349166666666667,0.02916535711345835
7,7,16384,0.1473701000213623,0.43,0.43133333333333335,0.4333333333333334,0.43933333333333335,0.434,0.4360833333333333,0.03204391517901643
8,8,22819,0.2028658390045166,0.43,0.43133333333333335,0.434,0.4366666666666667,0.43200000000000005,0.42875,0.03806290480536427
9,9,27824,0.2455308437347412,0.43,0.43,0.434,0.4373333333333334,0.43866666666666665,0.4329166666666667,0.02909813376986381
10,10,30827,0.26958131790161133,0.43,0.43133333333333335,0.43600000000000005,0.43533333333333335,0.43133333333333335,0.435,0.03269174207655506
11,11,32192,0.29471564292907715,0.43,0.4333333333333334,0.43466666666666665,0.43666666666666665,0.442,0.42733333333333334,0.029757818767137113
12,12,32647,0.29056334495544434,0.43,0.43200000000000005,0.4333333333333334,0.438,0.438,0.42483333333333334,0.03993884213533375
13,13,32752,0.2929251194000244,0.43,0.43066666666666664,0.4333333333333333,0.4413333333333333,0.43066666666666664,0.43775,0.029491170995175266
14,14,32767,0.28296375274658203,0.45,0.45066666666666666,0.44800000000000006,0.45533333333333337,0.45199999999999996,0.4444166666666667,0.03101981893349261
15,15,32768,0.31098484992980957,0.43,0.4373333333333333,0.44000000000000006,0.44266666666666665,0.442,0.4199166666666667,0.02668345825496471
