,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.01405787467956543,0.43333333333333335,0.4333333333333334,0.43533333333333335,0.4406666666666667,0.43933333333333335,0.43383333333333324,0.02755852358567531
2,2,121,0.014613628387451172,0.43,0.4333333333333334,0.434,0.43866666666666665,0.44400000000000006,0.43200000000000005,0.02678930134711741
3,3,576,0.01918935775756836,0.43,0.43066666666666664,0.4333333333333333,0.43533333333333335,0.43600000000000005,0.42975,0.032296478136168344
4,4,1941,0.03018927574157715,0.43,0.43266666666666664,0.43200000000000005,0.43466666666666676,0.44400000000000006,0.4265833333333333,0.03164352224389693
5,5,4944,0.0568392276763916,0.43,0.43266666666666664,0.43133333333333335,0.43466666666666665,0.434,0.4279166666666667,0.026669921676342096
6,6,9949,0.09145545959472656,0.43,0.43200000000000005,0.434,0.4326666666666667,0.43599999999999994,0.43458333333333343,0.02933581902346988
7,7,16384,0.14690399169921875,0.43,0.43066666666666664,0.43466666666666665,0.43466666666666665,0.43933333333333335,0.43424999999999997,0.032948718572283736
8,8,22819,0.20569276809692383,0.43,0.43,0.43000000000000005,0.4446666666666667,0.43666666666666665,0.4415833333333333,0.03463590381862921
9,9,27824,0.2550506591796875,0.43,0.43066666666666664,0.43200000000000005,0.4366666666666667,0.43866666666666665,0.42966666666666664,0.03296294215563222
10,10,30827,0.28567051887512207,0.43,0.43266666666666664,0.434,0.4373333333333334,0.43600000000000005,0.42575,0.0351750582404951
11,11,32192,0.28088855743408203,0.43,0.43066666666666664,0.434,0.43600000000000005,0.4366666666666667,0.4315,0.030665760856187628
12,12,32647,0.2886052131652832,0.43,0.43200000000000005,0.43466666666666665,0.43466666666666665,0.4413333333333334,0.4349166666666667,0.030832094569710238
13,13,32752,0.29068970680236816,0.43,0.4333333333333334,0.43666666666666665,0.434,0.44000000000000006,0.43099999999999994,0.026076277000795612
14,14,32767,0.3272745609283447,0.45,0.45133333333333336,0.454,0.45200000000000007,0.4533333333333333,0.44541666666666674,0.027134566925274897
15,15,32768,0.3167989253997803,0.43,0.4346666666666666,0.438,0.43933333333333335,0.44266666666666665,0.43316666666666664,0.035599625466194634
