,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.014084815979003906,0.42,0.4213333333333333,0.42400000000000004,0.42000000000000004,0.41933333333333334,0.4225833333333333,0.03110343407264077
2,2,121,0.014421939849853516,0.42333333333333334,0.42400000000000004,0.42400000000000004,0.4253333333333334,0.43066666666666664,0.4205833333333334,0.03716900216877261
3,3,576,0.01806950569152832,0.42333333333333334,0.42400000000000004,0.422,0.4213333333333334,0.42333333333333323,0.4238333333333334,0.025359087785906922
4,4,1941,0.02906322479248047,0.42333333333333334,0.42266666666666663,0.42400000000000004,0.4246666666666667,0.4293333333333333,0.4191666666666667,0.031534813214040835
5,5,4944,0.05550432205200195,0.42333333333333334,0.42333333333333334,0.42400000000000004,0.4206666666666667,0.42266666666666663,0.4280833333333333,0.02923575151533934
6,6,9949,0.09348511695861816,0.42333333333333334,0.42333333333333334,0.422,0.42266666666666663,0.42333333333333334,0.4300833333333333,0.03233172246846397
7,7,16384,0.1476755142211914,0.42333333333333334,0.42333333333333334,0.4246666666666667,0.42666666666666675,0.4213333333333334,0.4255,0.03761685496925252
8,8,22819,0.2013857364654541,0.42333333333333334,0.42333333333333334,0.42266666666666663,0.42400000000000004,0.422,0.42041666666666666,0.029991318188213507
9,9,27824,0.24278879165649414,0.42333333333333334,0.42333333333333334,0.422,0.42266666666666663,0.42666666666666664,0.4237499999999999,0.025728955802104884
10,10,30827,0.2631833553314209,0.42333333333333334,0.42333333333333334,0.4213333333333333,0.41933333333333334,0.41999999999999993,0.41899999999999993,0.030620436167878323
11,11,32192,0.2793593406677246,0.42333333333333334,0.42333333333333334,0.4213333333333333,0.422,0.42400000000000004,0.4234166666666666,0.0339616818389981
12,12,32647,0.2826709747314453,0.42333333333333334,0.422,0.42333333333333334,0.422,0.42466666666666664,0.41925000000000007,0.027448057004701324
13,13,32752,0.3141028881072998,0.42333333333333334,0.42266666666666663,0.42400000000000004,0.42400000000000004,0.42400000000000004,0.4254166666666667,0.027578801238954852
14,14,32767,0.2946634292602539,0.42333333333333334,0.42333333333333334,0.42466666666666664,0.42800000000000005,0.41933333333333334,0.42741666666666667,0.03265018716978851
15,15,32768,0.3234715461730957,0.42333333333333334,0.42333333333333334,0.422,0.422,0.4213333333333333,0.42208333333333337,0.03189882007570534
