,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.014491081237792969,0.43333333333333335,0.434,0.43666666666666665,0.43999999999999995,0.43533333333333335,0.4263333333333334,0.033823890307821715
2,2,121,0.015100479125976562,0.43,0.43466666666666665,0.4379999999999999,0.43933333333333335,0.4413333333333334,0.4268333333333333,0.03871333390735318
3,3,576,0.018005847930908203,0.43,0.43066666666666664,0.4326666666666667,0.4373333333333333,0.434,0.4381666666666667,0.03054322983721415
4,4,1941,0.030139446258544922,0.43,0.43,0.4366666666666667,0.43466666666666665,0.442,0.42341666666666666,0.029284168077649053
5,5,4944,0.05584144592285156,0.43,0.43066666666666664,0.43533333333333335,0.43600000000000005,0.434,0.4275,0.027838821814150105
6,6,9949,0.09074640274047852,0.43,0.43200000000000005,0.43266666666666664,0.43533333333333335,0.43866666666666665,0.4303333333333334,0.03228604789826232
7,7,16384,0.14945149421691895,0.43,0.43066666666666664,0.43466666666666665,0.43866666666666665,0.438,0.4255,0.03192482489293316
8,8,22819,0.20047569274902344,0.43,0.43066666666666664,0.434,0.43533333333333335,0.43933333333333324,0.42966666666666664,0.03015745715776153
9,9,27824,0.25329160690307617,0.43,0.4326666666666667,0.43533333333333335,0.43666666666666665,0.44266666666666665,0.42608333333333337,0.023300721257315433
10,10,30827,0.27518796920776367,0.43,0.43066666666666664,0.43600000000000005,0.43533333333333324,0.43666666666666665,0.4305833333333334,0.027469806657087665
11,11,32192,0.2849113941192627,0.43,0.43133333333333324,0.434,0.44066666666666665,0.44066666666666665,0.4389166666666667,0.02836530059382022
12,12,32647,0.31908559799194336,0.43,0.4333333333333333,0.43266666666666664,0.438,0.43933333333333335,0.4252500000000001,0.034201303581393894
13,13,32752,0.2894153594970703,0.43,0.43200000000000005,0.43466666666666665,0.4373333333333333,0.43,0.42824999999999996,0.030026492931705787
14,14,32767,0.2903025150299072,0.45,0.4493333333333333,0.45199999999999996,0.454,0.4493333333333333,0.45099999999999996,0.03558596789622436
15,15,32768,0.2947695255279541,0.43,0.4373333333333333,0.43800000000000006,0.44400000000000006,0.43866666666666665,0.4275,0.02895158794340035
