,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.014052867889404297,0.43,0.43,0.43,0.43,0.43066666666666664,0.43316666666666664,0.025765502345405783
2,2,121,0.014224052429199219,0.43,0.43,0.43,0.43066666666666664,0.43266666666666664,0.42716666666666664,0.03459327166436335
3,3,576,0.017281293869018555,0.43,0.43,0.43,0.43066666666666664,0.43133333333333335,0.4236666666666667,0.032950299273636685
4,4,1941,0.025050640106201172,0.43,0.43,0.43,0.43,0.43066666666666664,0.4311666666666667,0.029747082023097473
5,5,4944,0.04126143455505371,0.43,0.43,0.43,0.43,0.43,0.4285000000000001,0.026501572280401273
6,6,9949,0.07089352607727051,0.43,0.43,0.43,0.43066666666666664,0.43133333333333335,0.4356666666666667,0.026798631805871487
7,7,16384,0.10681462287902832,0.43,0.43,0.43,0.43,0.43133333333333335,0.42725,0.034843001050745066
8,8,22819,0.14825177192687988,0.43,0.43,0.43,0.43066666666666664,0.43133333333333335,0.42608333333333337,0.03199186094410056
9,9,27824,0.17395496368408203,0.43,0.43,0.43,0.43,0.43133333333333335,0.4325,0.03096817362677008
10,10,30827,0.20155763626098633,0.43,0.43,0.43,0.43066666666666664,0.43133333333333335,0.43233333333333335,0.030006480781472677
11,11,32192,0.21508407592773438,0.43,0.43,0.43,0.43,0.43200000000000005,0.42899999999999994,0.029462311141147394
12,12,32647,0.2046186923980713,0.43,0.43,0.43,0.43,0.43200000000000005,0.42725,0.0314820275007115
13,13,32752,0.21366095542907715,0.43,0.43,0.43,0.43,0.43466666666666665,0.4293333333333333,0.036599939283495475
14,14,32767,0.21088767051696777,0.43,0.43,0.43,0.43,0.43266666666666664,0.4216666666666667,0.030287969742310412
15,15,32768,0.21554279327392578,0.43,0.43,0.43,0.43066666666666664,0.43266666666666664,0.4307500000000001,0.034809900411616614
