,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.014060497283935547,0.43,0.43,0.43,0.43,0.43,0.43725,0.03359697820406539
2,2,121,0.01503610610961914,0.43,0.43,0.43,0.43,0.43,0.43283333333333324,0.033733432147417856
3,3,576,0.016325712203979492,0.43,0.43,0.43,0.43,0.43,0.4244166666666667,0.033395878820929724
4,4,1941,0.02624225616455078,0.43,0.43,0.43,0.43,0.43,0.425,0.03790521805181386
5,5,4944,0.05369997024536133,0.43,0.43,0.43,0.43,0.4293333333333333,0.4294166666666667,0.027034057737930824
6,6,9949,0.12198233604431152,0.43,0.43,0.43,0.43,0.43066666666666664,0.4365,0.033825122156304024
7,7,16384,0.14809751510620117,0.43,0.43,0.43,0.43,0.43066666666666664,0.42541666666666667,0.029956565780031155
8,8,22819,0.2022240161895752,0.43,0.43,0.43,0.43,0.43066666666666664,0.42791666666666667,0.03331509917940112
9,9,27824,0.24180316925048828,0.43,0.43,0.43,0.43,0.4293333333333334,0.43116666666666675,0.03491298707739953
10,10,30827,0.2838265895843506,0.43333333333333335,0.4333333333333334,0.4333333333333334,0.4333333333333334,0.434,0.4303333333333333,0.035099461850891994
11,11,32192,0.2815525531768799,0.43333333333333335,0.4333333333333334,0.4333333333333334,0.434,0.43533333333333335,0.43133333333333335,0.02945382450171417
12,12,32647,0.2899198532104492,0.43333333333333335,0.4333333333333334,0.4333333333333334,0.4333333333333334,0.434,0.4265,0.027947868135751133
13,13,32752,0.30767297744750977,0.43333333333333335,0.4333333333333334,0.4333333333333334,0.4333333333333334,0.43466666666666665,0.42566666666666664,0.031072942856732736
14,14,32767,0.29473209381103516,0.43333333333333335,0.4333333333333334,0.4333333333333334,0.4333333333333334,0.434,0.4395,0.03006058696846901
15,15,32768,0.28850460052490234,0.43333333333333335,0.4333333333333334,0.4333333333333334,0.4333333333333334,0.4326666666666667,0.439,0.03112207148204202
