k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
2,"[1, 2, 3, 4, 5]",5,2,"1,2,3,4,5",0.8990825688073395,16
2,"[0, 2, 3, 4, 5]",5,2,"0,2,3,4,5",0.8914373088685015,16
2,"[0, 1, 2, 3, 4]",5,2,"0,1,2,3,4",0.8906727828746177,16
2,"[0, 1, 2, 3, 4, 5]",6,1,"0,1,2,3,4,5",0.8738532110091743,22
2,"[0, 1, 3, 4, 5]",5,2,"0,1,3,4,5",0.8723241590214067,16
2,"[0, 2, 3, 4, 6]",5,2,"0,2,3,4,6",0.8631498470948012,16
2,"[2, 3, 4, 5, 6]",5,2,"2,3,4,5,6",0.8600917431192661,16
2,"[1, 2, 3, 4, 5, 6]",6,1,"1,2,3,4,5,6",0.8478593272171254,22
2,"[0, 1, 2, 3, 4, 6]",6,1,"0,1,2,3,4,6",0.8448012232415902,22
2,"[1, 2, 3, 5, 6]",5,2,"1,2,3,5,6",0.8409785932721713,16
2,"[1, 3, 4, 5, 6]",5,2,"1,3,4,5,6",0.8402140672782875,16
2,"[0, 1, 2, 3, 6]",5,2,"0,1,2,3,6",0.8325688073394495,16
2,"[0, 1, 3, 4, 6]",5,2,"0,1,3,4,6",0.8318042813455657,16
2,"[0, 2, 3, 4, 5, 6]",6,1,"0,2,3,4,5,6",0.8287461773700305,22
2,"[0, 1, 2, 3, 4, 5, 6]",7,0,"0,1,2,3,4,5,6",0.8256880733944955,29
2,"[1, 2, 3, 4, 6]",5,2,"1,2,3,4,6",0.8249235474006116,16
2,"[0, 1, 3, 5, 6]",5,2,"0,1,3,5,6",0.8203363914373089,16
2,"[0, 2, 3, 5, 6]",5,2,"0,2,3,5,6",0.8180428134556575,16
2,"[0, 1, 2, 3, 5, 6]",6,1,"0,1,2,3,5,6",0.8157492354740061,22
2,"[0, 1, 3, 4, 5, 6]",6,1,"0,1,3,4,5,6",0.8103975535168195,22
2,"[0, 3, 4, 5, 6]",5,2,"0,3,4,5,6",0.7996941896024465,16
2,"[0, 1, 2, 3, 5]",5,2,"0,1,2,3,5",0.7951070336391437,16
2,"[1, 2, 4, 5, 6]",5,2,"1,2,4,5,6",0.7889908256880734,16
2,"[0, 1, 2, 4, 6]",5,2,"0,1,2,4,6",0.7798165137614679,16
2,"[0, 2, 4, 5, 6]",5,2,"0,2,4,5,6",0.7706422018348624,16
2,"[0, 1, 2, 4, 5, 6]",6,1,"0,1,2,4,5,6",0.7614678899082569,22
2,"[0, 1, 4, 5, 6]",5,2,"0,1,4,5,6",0.7423547400611621,16
2,"[0, 1, 2, 5, 6]",5,2,"0,1,2,5,6",0.7347094801223242,16
2,"[0, 1, 2, 4, 5]",5,2,"0,1,2,4,5",0.7224770642201835,16
