k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
1,"[0, 1, 4]",3,2,"0,1,4",0.986870897155361,4
1,"[1, 3, 4]",3,2,"1,3,4",0.9518599562363238,4
1,"[0, 3, 4]",3,2,"0,3,4",0.9518599562363238,4
1,"[0, 1, 3, 4]",4,1,"0,1,3,4",0.9387308533916849,5
1,"[0, 1, 2, 4]",4,1,"0,1,2,4",0.9015317286652079,5
1,"[0, 2, 4]",3,2,"0,2,4",0.8862144420131292,4
1,"[1, 2, 4]",3,2,"1,2,4",0.8818380743982495,4
1,"[1, 2, 3, 4]",4,1,"1,2,3,4",0.87527352297593,5
1,"[0, 1, 2, 3, 4]",5,0,"0,1,2,3,4",0.8730853391684902,6
1,"[0, 2, 3, 4]",4,1,"0,2,3,4",0.8643326039387309,5
1,"[2, 3, 4]",3,2,"2,3,4",0.7986870897155361,4
1,"[0, 1, 3]",3,2,"0,1,3",0.7417943107221007,4
1,"[0, 2, 3]",3,2,"0,2,3",0.7264770240700219,4
1,"[0, 1, 2, 3]",4,1,"0,1,2,3",0.700218818380744,5
1,"[0, 1, 2]",3,2,"0,1,2",0.6827133479212254,4
1,"[1, 2, 3]",3,2,"1,2,3",0.5864332603938731,4
