k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
5,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",9,0,"0,1,2,3,4,5,6,7,8",0.6892963330029732,382
5,"[0, 1, 2, 3, 4, 5, 7, 8]",8,1,"0,1,2,3,4,5,7,8",0.6890676221697034,219
5,"[0, 1, 2, 4, 5, 6, 7, 8]",8,1,"0,1,2,4,5,6,7,8",0.6881908973088359,219
5,"[0, 1, 2, 3, 4, 6, 7, 8]",8,1,"0,1,2,3,4,6,7,8",0.6879621864755661,219
5,"[0, 1, 2, 4, 6, 7, 8]",7,2,"0,1,2,4,6,7,8",0.6879621864755661,120
5,"[0, 2, 3, 4, 5, 7, 8]",7,2,"0,2,3,4,5,7,8",0.6877334756422963,120
5,"[0, 1, 2, 3, 5, 6, 7, 8]",8,1,"0,1,2,3,5,6,7,8",0.6874666463368149,219
5,"[0, 1, 2, 3, 6, 7, 8]",7,2,"0,1,2,3,6,7,8",0.6874285278646032,120
5,"[0, 1, 2, 3, 5, 7, 8]",7,2,"0,1,2,3,5,7,8",0.6873904093923916,120
5,"[0, 1, 2, 4, 5, 7, 8]",7,2,"0,1,2,4,5,7,8",0.6873522909201799,120
5,"[0, 1, 2, 5, 6, 7, 8]",7,2,"0,1,2,5,6,7,8",0.6873141724479683,120
5,"[0, 2, 4, 5, 6, 7, 8]",7,2,"0,2,4,5,6,7,8",0.686513684531524,120
5,"[0, 2, 3, 4, 5, 6, 7, 8]",8,1,"0,2,3,4,5,6,7,8",0.6864755660593124,219
5,"[0, 2, 3, 4, 6, 7, 8]",7,2,"0,2,3,4,6,7,8",0.6863612106426774,120
5,"[0, 1, 2, 3, 4, 5, 6, 7]",8,1,"0,1,2,3,4,5,6,7",0.6862087367538309,219
5,"[0, 1, 2, 4, 5, 6, 7]",7,2,"0,1,2,4,5,6,7",0.6861324998094076,120
5,"[0, 1, 2, 3, 4, 6, 7]",7,2,"0,1,2,3,4,6,7",0.685789433559503,120
5,"[0, 1, 2, 3, 4, 7, 8]",7,2,"0,1,2,3,4,7,8",0.6857131966150797,120
5,"[0, 1, 2, 3, 4, 5, 7]",7,2,"0,1,2,3,4,5,7",0.685065182587482,120
5,"[0, 2, 3, 5, 6, 7, 8]",7,2,"0,2,3,5,6,7,8",0.6838453914767096,120
5,"[0, 1, 3, 4, 5, 6, 7, 8]",8,1,"0,1,3,4,5,6,7,8",0.6836929175878631,219
5,"[0, 1, 3, 4, 6, 7, 8]",7,2,"0,1,3,4,6,7,8",0.6833117328657468,120
5,"[0, 1, 2, 3, 5, 6, 7]",7,2,"0,1,2,3,5,6,7",0.6833117328657468,120
5,"[1, 2, 3, 4, 5, 6, 7, 8]",8,1,"1,2,3,4,5,6,7,8",0.6820157048105512,219
5,"[0, 1, 4, 5, 6, 7, 8]",7,2,"0,1,4,5,6,7,8",0.6820157048105512,120
5,"[0, 1, 3, 5, 6, 7, 8]",7,2,"0,1,3,5,6,7,8",0.6816726385606465,120
5,"[0, 3, 4, 5, 6, 7, 8]",7,2,"0,3,4,5,6,7,8",0.6812152168941069,120
5,"[1, 2, 3, 4, 5, 7, 8]",7,2,"1,2,3,4,5,7,8",0.6809483875886254,120
5,"[1, 2, 3, 4, 6, 7, 8]",7,2,"1,2,3,4,6,7,8",0.6807959136997789,120
5,"[0, 2, 3, 4, 5, 6, 7]",7,2,"0,2,3,4,5,6,7",0.6802241366166044,120
5,"[1, 2, 3, 5, 6, 7, 8]",7,2,"1,2,3,5,6,7,8",0.6801860181443927,120
5,"[0, 1, 3, 4, 5, 7, 8]",7,2,"0,1,3,4,5,7,8",0.6801860181443927,120
5,"[1, 3, 4, 5, 6, 7, 8]",7,2,"1,3,4,5,6,7,8",0.6801478996721811,120
5,"[1, 2, 4, 5, 6, 7, 8]",7,2,"1,2,4,5,6,7,8",0.6801097811999695,120
5,"[2, 3, 4, 5, 6, 7, 8]",7,2,"2,3,4,5,6,7,8",0.6794236487001601,120
5,"[1, 2, 3, 4, 5, 6, 7]",7,2,"1,2,3,4,5,6,7",0.6787756346725623,120
5,"[0, 1, 3, 4, 5, 6, 7]",7,2,"0,1,3,4,5,6,7",0.6754212091179386,120
5,"[0, 1, 2, 3, 4, 5, 6, 8]",8,1,"0,1,2,3,4,5,6,8",0.624685522604254,219
5,"[0, 1, 2, 3, 4, 6, 8]",7,2,"0,1,2,3,4,6,8",0.624380574826561,120
5,"[0, 1, 2, 3, 4, 5, 8]",7,2,"0,1,2,3,4,5,8",0.6237325607989632,120
5,"[0, 1, 2, 4, 5, 6, 8]",7,2,"0,1,2,4,5,6,8",0.6207593199664557,120
5,"[0, 1, 2, 3, 4, 5, 6]",7,2,"0,1,2,3,4,5,6",0.6204543721887626,120
5,"[0, 2, 3, 4, 5, 6, 8]",7,2,"0,2,3,4,5,6,8",0.6155752077456735,120
5,"[0, 1, 3, 4, 5, 6, 8]",7,2,"0,1,3,4,5,6,8",0.614698482884806,120
5,"[0, 1, 2, 3, 5, 6, 8]",7,2,"0,1,2,3,5,6,8",0.6145078905237478,120
5,"[1, 2, 3, 4, 5, 6, 8]",7,2,"1,2,3,4,5,6,8",0.5941526263627354,120
