k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
2,"[1, 2]",2,2,"1,2",0.7898832684824902,4
2,"[0, 2]",2,2,"0,2",0.7782101167315175,4
2,"[0, 1]",2,2,"0,1",0.7782101167315175,4
2,"[1, 3]",2,2,"1,3",0.77431906614786,4
2,"[2, 3]",2,2,"2,3",0.7704280155642024,4
2,"[0, 2, 3]",3,1,"0,2,3",0.7704280155642024,7
2,"[0, 1, 2, 3]",4,0,"0,1,2,3",0.7665369649805448,11
2,"[0, 1, 3]",3,1,"0,1,3",0.7509727626459144,7
2,"[1, 2, 3]",3,1,"1,2,3",0.7431906614785992,7
2,"[0, 3]",2,2,"0,3",0.6809338521400778,4
2,"[0, 1, 2]",3,1,"0,1,2",0.5136186770428015,7
