,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.049521684646606445,0.51,0.5066666666666666,0.4953333333333334,0.5066666666666667,0.5026666666666666,0.5078333333333332,0.03330874092820415
2,2,121,0.35086822509765625,0.52,0.5326666666666667,0.5406666666666666,0.5353333333333333,0.5313333333333332,0.5185,0.025956159620063646
3,3,576,1.5099005699157715,0.5466666666666666,0.5486666666666666,0.5486666666666666,0.5426666666666666,0.5253333333333334,0.5505,0.033308740928204156
4,4,1941,5.102370500564575,0.53,0.544,0.5373333333333334,0.5313333333333333,0.5326666666666666,0.5305,0.031174241503737238
5,5,4944,13.231506824493408,0.52,0.5373333333333333,0.55,0.5326666666666666,0.5386666666666666,0.52025,0.032723695967567266
6,6,9949,26.874659538269043,0.54,0.5386666666666666,0.5393333333333332,0.5246666666666668,0.5406666666666666,0.5454166666666665,0.031349840509961126
7,7,16384,53.924471378326416,0.5466666666666666,0.5486666666666666,0.5506666666666666,0.5566666666666666,0.556,0.5518333333333334,0.027400831293147944
8,8,22819,61.84023714065552,0.5233333333333333,0.5413333333333334,0.5426666666666667,0.5666666666666668,0.5493333333333332,0.5319999999999999,0.032918670825063535
9,9,27824,75.62122368812561,0.5533333333333333,0.5466666666666666,0.5566666666666666,0.5453333333333333,0.542,0.5522499999999999,0.03398539310416234
10,10,30827,83.94774508476257,0.5433333333333333,0.5533333333333333,0.5453333333333333,0.5553333333333333,0.5573333333333333,0.5422499999999999,0.02793854863803773
11,11,32192,88.0096504688263,0.56,0.5613333333333334,0.5686666666666667,0.5673333333333334,0.5599999999999999,0.5620833333333334,0.029026448667072977
12,12,32647,88.7824559211731,0.5433333333333333,0.5606666666666666,0.548,0.5446666666666666,0.544,0.53925,0.03041484012780603
13,13,32752,152.66282987594604,0.49333333333333335,0.51,0.51,0.5286666666666667,0.5453333333333333,0.49491666666666667,0.03198621664960637
14,14,32767,174.0176727771759,0.5266666666666666,0.5246666666666666,0.5233333333333332,0.5373333333333333,0.5166666666666666,0.5254166666666665,0.03016447966289711
15,15,32768,89.7097499370575,0.5266666666666666,0.5073333333333334,0.5173333333333333,0.5233333333333333,0.5373333333333333,0.524,0.03497578527432309
