,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,106.08435988426208,0.5433333333333333,0.5519999999999999,0.5493333333333335,0.5353333333333333,0.5613333333333334,0.54425,0.029684568568721217
2,2,121,108.1304202079773,0.54,0.5533333333333333,0.5446666666666667,0.5486666666666666,0.5306666666666666,0.5391666666666667,0.02948634335492356
3,3,576,108.19185876846313,0.5433333333333333,0.5393333333333333,0.526,0.538,0.53,0.54325,0.029390687300571934
4,4,1941,108.4959659576416,0.5433333333333333,0.5359999999999999,0.5153333333333334,0.5466666666666666,0.5253333333333333,0.5404166666666668,0.029828793881825737
5,5,4944,107.06121349334717,0.5333333333333333,0.5433333333333332,0.5433333333333333,0.5393333333333333,0.5186666666666666,0.5320833333333332,0.031833442408190096
6,6,9949,107.31566905975342,0.5366666666666666,0.53,0.5293333333333333,0.5459999999999999,0.5013333333333334,0.5425833333333333,0.03141666666666667
7,7,16384,108.50448322296143,0.53,0.5313333333333332,0.524,0.5333333333333332,0.5266666666666666,0.5298333333333334,0.03454425502967977
8,8,22819,108.89570569992065,0.53,0.536,0.5399999999999999,0.5346666666666666,0.5306666666666666,0.5341666666666667,0.033613406716831176
9,9,27824,107.02300238609314,0.54,0.544,0.5333333333333334,0.5426666666666666,0.5473333333333333,0.54,0.03574601764921203
10,10,30827,108.52020382881165,0.54,0.5399999999999999,0.5433333333333333,0.5346666666666666,0.5193333333333333,0.5443333333333333,0.03593744565213282
11,11,32192,107.28653860092163,0.5466666666666666,0.5366666666666666,0.5473333333333332,0.538,0.528,0.5429999999999999,0.03379307950190722
12,12,32647,109.3409411907196,0.5466666666666666,0.5466666666666666,0.5453333333333333,0.538,0.522,0.5457500000000001,0.03425283848740779
13,13,32752,108.5617880821228,0.5466666666666666,0.5426666666666666,0.5439999999999999,0.5359999999999999,0.532,0.5406666666666667,0.03601272923101868
14,14,32767,107.75703358650208,0.5466666666666666,0.546,0.526,0.5473333333333332,0.5146666666666666,0.53875,0.025943983460096832
15,15,32768,108.1563572883606,0.5466666666666666,0.5406666666666667,0.5386666666666666,0.538,0.51,0.53575,0.03725932023594156
