,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.07515931129455566,0.46,0.518,0.5133333333333334,0.506,0.5173333333333333,0.45625000000000004,0.03247060636603169
2,2,121,0.35024499893188477,0.48333333333333334,0.4993333333333334,0.5133333333333334,0.5146666666666667,0.5153333333333333,0.48516666666666663,0.029322914816459385
3,3,576,1.5589985847473145,0.5033333333333333,0.5033333333333332,0.5233333333333333,0.5113333333333333,0.5106666666666666,0.4997499999999999,0.031373754955376316
4,4,1941,5.165389060974121,0.4866666666666667,0.5026666666666666,0.5166666666666667,0.5093333333333333,0.5313333333333333,0.4936666666666667,0.0346333974975344
5,5,4944,13.342430114746094,0.49333333333333335,0.502,0.524,0.514,0.5199999999999999,0.4824166666666666,0.03073509123678232
6,6,9949,26.957737684249878,0.53,0.5366666666666667,0.5373333333333333,0.5519999999999999,0.5306666666666666,0.5245,0.03383620677453206
7,7,16384,44.23466157913208,0.5333333333333333,0.5426666666666666,0.54,0.542,0.5386666666666666,0.5293333333333333,0.03672306268999541
8,8,22819,61.56866908073425,0.5433333333333333,0.548,0.5486666666666666,0.5553333333333332,0.5526666666666666,0.5445833333333333,0.03524960598676562
9,9,27824,75.67610692977905,0.47,0.47733333333333333,0.484,0.5026666666666667,0.4913333333333334,0.46275,0.02647601115475416
10,10,30827,84.17898869514465,0.47333333333333333,0.47733333333333333,0.47800000000000004,0.5113333333333333,0.5126666666666666,0.47125,0.03365728004459065
11,11,32192,87.94203972816467,0.47,0.4686666666666667,0.4786666666666667,0.47733333333333333,0.4966666666666666,0.4671666666666667,0.03391820225844
12,12,32647,90.89120650291443,0.47,0.47400000000000003,0.4739999999999999,0.4846666666666667,0.4866666666666667,0.46233333333333326,0.03151234326066181
13,13,32752,91.4725170135498,0.47,0.4706666666666667,0.46399999999999997,0.49733333333333335,0.516,0.47008333333333335,0.029973251964598928
14,14,32767,91.47257256507874,0.47,0.4686666666666667,0.47333333333333333,0.49799999999999994,0.5013333333333334,0.4656666666666667,0.031869525673700674
15,15,32768,91.09067487716675,0.47,0.4779999999999999,0.48266666666666663,0.48600000000000004,0.508,0.46549999999999997,0.03177656369087129
