,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.018813371658325195,0.47333333333333333,0.4706666666666667,0.4680000000000001,0.46333333333333326,0.4693333333333333,0.47266666666666673,0.032265822991725056
2,2,121,0.37055063247680664,0.49666666666666665,0.4913333333333333,0.48999999999999994,0.49399999999999994,0.49000000000000005,0.49033333333333323,0.031096176971168375
3,3,576,1.6241586208343506,0.43,0.44333333333333336,0.4453333333333333,0.43466666666666676,0.45200000000000007,0.42666666666666664,0.03101299010988066
4,4,1941,5.139715671539307,0.43666666666666665,0.458,0.472,0.4606666666666667,0.4533333333333333,0.43799999999999994,0.03357868040554569
5,5,4944,13.529227256774902,0.4666666666666667,0.462,0.45866666666666667,0.4706666666666666,0.48133333333333334,0.46733333333333327,0.04025405431616657
6,6,9949,27.74232840538025,0.47333333333333333,0.47133333333333327,0.472,0.46799999999999997,0.472,0.48225000000000007,0.03019393334945136
7,7,16384,45.67891526222229,0.47333333333333333,0.472,0.4686666666666667,0.4693333333333333,0.46733333333333327,0.4638333333333334,0.03369017331178007
8,8,22819,62.35557293891907,0.47,0.46333333333333326,0.4706666666666667,0.45933333333333326,0.45066666666666666,0.47641666666666665,0.029832984169278882
9,9,27824,75.82910656929016,0.4666666666666667,0.4666666666666667,0.462,0.4633333333333334,0.4753333333333334,0.46275000000000005,0.03307619570359056
10,10,30827,84.33000779151917,0.47333333333333333,0.476,0.4546666666666666,0.4573333333333333,0.4646666666666667,0.47025000000000006,0.03101310206993167
11,11,32192,87.68544864654541,0.47,0.45866666666666667,0.45933333333333337,0.47000000000000003,0.45466666666666666,0.4696666666666667,0.03360348857551019
12,12,32647,89.00189352035522,0.47333333333333333,0.46266666666666667,0.45933333333333337,0.462,0.4586666666666666,0.47433333333333344,0.0301887580253165
13,13,32752,90.32160592079163,0.47,0.4613333333333333,0.45,0.4666666666666667,0.4653333333333333,0.4685833333333334,0.03082443565311997
14,14,32767,90.4796690940857,0.47,0.4766666666666667,0.466,0.4686666666666667,0.48133333333333334,0.4756666666666667,0.02718710887330406
15,15,32768,90.47533297538757,0.47,0.4779999999999999,0.47800000000000004,0.48533333333333334,0.4946666666666667,0.46991666666666676,0.037659752315229646
