,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,108.24855470657349,0.5433333333333333,0.546,0.5413333333333334,0.5653333333333334,0.5660000000000001,0.5413333333333334,0.024378952670968727
2,2,121,106.71988868713379,0.54,0.5546666666666666,0.5513333333333332,0.5373333333333333,0.5266666666666666,0.5435833333333333,0.03566053296168063
3,3,576,107.90308785438538,0.5433333333333333,0.5326666666666667,0.5406666666666666,0.5273333333333333,0.5279999999999999,0.5468333333333333,0.03339119977212892
4,4,1941,106.85348296165466,0.5433333333333333,0.5433333333333333,0.5266666666666666,0.5359999999999999,0.526,0.5455000000000001,0.03721036295323
5,5,4944,107.39115476608276,0.5333333333333333,0.5333333333333334,0.55,0.5353333333333333,0.532,0.5371666666666667,0.0327960871649856
6,6,9949,108.17591786384583,0.5366666666666666,0.5313333333333332,0.5279999999999999,0.528,0.5439999999999999,0.5353333333333333,0.031680260240233016
7,7,16384,108.02860260009766,0.53,0.5326666666666667,0.5433333333333333,0.538,0.5406666666666666,0.5376666666666666,0.027271271004891254
8,8,22819,105.66165399551392,0.53,0.5386666666666666,0.542,0.5026666666666666,0.5133333333333334,0.53125,0.030336652748778996
9,9,27824,106.96748924255371,0.54,0.5386666666666666,0.538,0.5413333333333333,0.5093333333333334,0.5329999999999999,0.03095516470998373
10,10,30827,107.08794403076172,0.54,0.548,0.5299999999999999,0.5426666666666666,0.514,0.5438333333333333,0.035465554493840305
11,11,32192,107.4571361541748,0.5466666666666666,0.5506666666666666,0.5453333333333333,0.5279999999999999,0.5286666666666667,0.53975,0.029700004676393194
12,12,32647,107.29974389076233,0.5466666666666666,0.5393333333333333,0.5606666666666668,0.5313333333333332,0.51,0.5503333333333333,0.035412646830695324
13,13,32752,107.00022792816162,0.5466666666666666,0.5493333333333333,0.5446666666666666,0.5266666666666666,0.5153333333333333,0.5549166666666667,0.02776000820525015
14,14,32767,108.36870217323303,0.5466666666666666,0.5366666666666667,0.548,0.5493333333333333,0.5346666666666666,0.5457500000000001,0.028167283030731474
15,15,32768,108.67400431632996,0.5466666666666666,0.5446666666666666,0.5453333333333333,0.5393333333333332,0.5386666666666666,0.54575,0.03494529454892476
