,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.07878232002258301,0.5033333333333333,0.5046666666666667,0.5073333333333334,0.4913333333333333,0.508,0.5065,0.03362538723444931
2,2,121,0.3541257381439209,0.49,0.49866666666666665,0.496,0.49466666666666664,0.496,0.48575,0.02849329843236047
3,3,576,1.521256446838379,0.5266666666666666,0.5233333333333333,0.536,0.5293333333333333,0.52,0.5230833333333333,0.0328528918057452
4,4,1941,5.27970027923584,0.53,0.528,0.4926666666666667,0.5026666666666666,0.5106666666666667,0.5270833333333332,0.028213595028717002
5,5,4944,13.623827934265137,0.52,0.5086666666666667,0.5246666666666666,0.5006666666666667,0.502,0.5185,0.03240541792835129
6,6,9949,27.168842315673828,0.51,0.5153333333333333,0.5113333333333333,0.5106666666666666,0.49799999999999994,0.5101666666666667,0.030358506038487616
7,7,16384,45.422364473342896,0.54,0.5233333333333333,0.5133333333333334,0.5393333333333333,0.5126666666666667,0.5341666666666667,0.030663949154956835
8,8,22819,62.479628562927246,0.5466666666666666,0.5513333333333333,0.556,0.5213333333333333,0.5353333333333333,0.5388333333333333,0.031163101400356302
9,9,27824,77.16784977912903,0.5433333333333333,0.5453333333333334,0.534,0.5406666666666666,0.5206666666666666,0.55125,0.030279370498373606
10,10,30827,85.45752358436584,0.5533333333333333,0.546,0.5653333333333334,0.5226666666666666,0.5413333333333334,0.5425,0.0306752705321766
11,11,32192,87.39006996154785,0.54,0.542,0.54,0.5486666666666667,0.5426666666666666,0.5406666666666666,0.037170403399598574
12,12,32647,91.15705943107605,0.5333333333333333,0.5539999999999999,0.5526666666666666,0.57,0.5519999999999999,0.53025,0.03573445660547938
13,13,32752,91.66561150550842,0.55,0.5633333333333332,0.5526666666666668,0.5539999999999999,0.534,0.5501666666666667,0.031012542265634685
14,14,32767,90.56682443618774,0.5466666666666666,0.5680000000000001,0.5606666666666666,0.5613333333333334,0.5573333333333333,0.5394999999999999,0.029723727895403698
15,15,32768,97.76644682884216,0.55,0.5513333333333333,0.55,0.532,0.5186666666666667,0.5545833333333333,0.027716947282604317
