k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
1,"[0, 1, 4, 5, 6]",5,2,"0,1,4,5,6",0.7851851851851852,6
1,"[1, 2, 4, 5, 6]",5,2,"1,2,4,5,6",0.7814814814814814,6
1,"[0, 1, 2, 4, 5, 6]",6,1,"0,1,2,4,5,6",0.7814814814814814,7
1,"[0, 1, 2, 5, 6]",5,2,"0,1,2,5,6",0.7777777777777778,6
1,"[0, 2, 4, 5, 6]",5,2,"0,2,4,5,6",0.7666666666666667,6
1,"[0, 1, 2, 4, 5]",5,2,"0,1,2,4,5",0.7444444444444445,6
1,"[0, 1, 3, 5, 6]",5,2,"0,1,3,5,6",0.6962962962962963,6
1,"[0, 1, 2, 3, 6]",5,2,"0,1,2,3,6",0.6962962962962963,6
1,"[0, 2, 3, 4, 5]",5,2,"0,2,3,4,5",0.6888888888888889,6
1,"[1, 3, 4, 5, 6]",5,2,"1,3,4,5,6",0.6888888888888889,6
1,"[0, 3, 4, 5, 6]",5,2,"0,3,4,5,6",0.6851851851851852,6
1,"[0, 1, 3, 4, 5, 6]",6,1,"0,1,3,4,5,6",0.6851851851851852,7
1,"[0, 1, 3, 4, 5]",5,2,"0,1,3,4,5",0.6851851851851852,6
1,"[0, 1, 2, 3, 4, 6]",6,1,"0,1,2,3,4,6",0.6814814814814815,7
1,"[0, 2, 3, 5, 6]",5,2,"0,2,3,5,6",0.6814814814814815,6
1,"[0, 1, 2, 3, 4]",5,2,"0,1,2,3,4",0.6777777777777778,6
1,"[2, 3, 4, 5, 6]",5,2,"2,3,4,5,6",0.6777777777777778,6
1,"[1, 2, 3, 4, 5, 6]",6,1,"1,2,3,4,5,6",0.674074074074074,7
1,"[0, 2, 3, 4, 5, 6]",6,1,"0,2,3,4,5,6",0.674074074074074,7
1,"[1, 2, 3, 5, 6]",5,2,"1,2,3,5,6",0.674074074074074,6
1,"[1, 2, 3, 4, 6]",5,2,"1,2,3,4,6",0.674074074074074,6
1,"[0, 1, 2, 3, 5, 6]",6,1,"0,1,2,3,5,6",0.674074074074074,7
1,"[1, 2, 3, 4, 5]",5,2,"1,2,3,4,5",0.674074074074074,6
1,"[0, 1, 2, 3, 4, 5]",6,1,"0,1,2,3,4,5",0.6703703703703704,7
1,"[0, 1, 2, 3, 4, 5, 6]",7,0,"0,1,2,3,4,5,6",0.6703703703703704,8
1,"[0, 1, 2, 3, 5]",5,2,"0,1,2,3,5",0.6703703703703704,6
1,"[0, 2, 3, 4, 6]",5,2,"0,2,3,4,6",0.6555555555555556,6
1,"[0, 1, 2, 4, 6]",5,2,"0,1,2,4,6",0.6185185185185185,6
1,"[0, 1, 3, 4, 6]",5,2,"0,1,3,4,6",0.6185185185185185,6
