k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
4,"[2, 3, 4, 5, 6]",5,2,"2,3,4,5,6",0.9304281345565749,31
4,"[0, 1, 2, 3, 4, 5]",6,1,"0,1,2,3,4,5",0.9296636085626911,57
4,"[0, 3, 4, 5, 6]",5,2,"0,3,4,5,6",0.9296636085626911,31
4,"[0, 2, 3, 5, 6]",5,2,"0,2,3,5,6",0.9296636085626911,31
4,"[1, 3, 4, 5, 6]",5,2,"1,3,4,5,6",0.9281345565749235,31
4,"[1, 2, 3, 4, 5]",5,2,"1,2,3,4,5",0.9281345565749235,31
4,"[0, 2, 3, 4, 5]",5,2,"0,2,3,4,5",0.9273700305810397,31
4,"[1, 2, 3, 4, 6]",5,2,"1,2,3,4,6",0.9273700305810397,31
4,"[0, 1, 3, 4, 5]",5,2,"0,1,3,4,5",0.9273700305810397,31
4,"[0, 2, 3, 4, 5, 6]",6,1,"0,2,3,4,5,6",0.9273700305810397,57
4,"[0, 1, 2, 3, 4, 6]",6,1,"0,1,2,3,4,6",0.926605504587156,57
4,"[0, 1, 3, 4, 6]",5,2,"0,1,3,4,6",0.926605504587156,31
4,"[0, 2, 3, 4, 6]",5,2,"0,2,3,4,6",0.9258409785932722,31
4,"[0, 1, 2, 3, 4]",5,2,"0,1,2,3,4",0.9250764525993884,31
4,"[0, 1, 2, 3, 4, 5, 6]",7,0,"0,1,2,3,4,5,6",0.9243119266055045,99
4,"[1, 2, 3, 5, 6]",5,2,"1,2,3,5,6",0.922782874617737,31
4,"[0, 1, 2, 3, 5]",5,2,"0,1,2,3,5",0.9220183486238532,31
4,"[0, 1, 2, 3, 6]",5,2,"0,1,2,3,6",0.9204892966360856,31
4,"[1, 2, 3, 4, 5, 6]",6,1,"1,2,3,4,5,6",0.9197247706422018,57
4,"[0, 1, 2, 4, 6]",5,2,"0,1,2,4,6",0.9151376146788991,31
4,"[0, 2, 4, 5, 6]",5,2,"0,2,4,5,6",0.9136085626911316,31
4,"[0, 1, 2, 4, 5]",5,2,"0,1,2,4,5",0.9136085626911316,31
4,"[0, 1, 3, 4, 5, 6]",6,1,"0,1,3,4,5,6",0.9113149847094801,57
4,"[1, 2, 4, 5, 6]",5,2,"1,2,4,5,6",0.9021406727828746,31
4,"[0, 1, 3, 5, 6]",5,2,"0,1,3,5,6",0.8937308868501529,31
4,"[0, 1, 2, 3, 5, 6]",6,1,"0,1,2,3,5,6",0.8914373088685015,57
4,"[0, 1, 2, 4, 5, 6]",6,1,"0,1,2,4,5,6",0.8776758409785933,57
4,"[0, 1, 4, 5, 6]",5,2,"0,1,4,5,6",0.8226299694189603,31
4,"[0, 1, 2, 5, 6]",5,2,"0,1,2,5,6",0.7935779816513762,31
