,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.0020503997802734375,0.48333333333333334,0.4826666666666667,0.48533333333333334,0.496,0.518,0.4810000000000001,0.0284453667385198
2,2,121,0.02449822425842285,0.7,0.6966666666666667,0.6839999999999999,0.6533333333333333,0.6639999999999999,0.6986666666666668,0.03489508083765772
3,3,576,0.130645751953125,0.7066666666666667,0.706,0.6993333333333334,0.6926666666666667,0.6753333333333333,0.7045833333333333,0.02757880123895485
4,4,1941,0.5373058319091797,0.6966666666666667,0.6966666666666667,0.6826666666666666,0.6873333333333334,0.6779999999999999,0.6920000000000001,0.03330040039799321
5,5,4944,1.5712215900421143,0.6733333333333333,0.662,0.6719999999999999,0.6693333333333333,0.66,0.6672499999999998,0.03456083605598813
6,6,9949,3.4780521392822266,0.6633333333333333,0.6526666666666666,0.656,0.6566666666666666,0.6526666666666667,0.6664166666666667,0.030292669630346762
7,7,16384,6.395071506500244,0.6466666666666666,0.6413333333333334,0.634,0.6426666666666667,0.6586666666666667,0.6425833333333334,0.03409840742452481
8,8,22819,9.361634969711304,0.62,0.6246666666666667,0.6353333333333333,0.642,0.6306666666666667,0.6239999999999999,0.03208668813629034
9,9,27824,21.049805641174316,0.6133333333333333,0.6253333333333334,0.6406666666666666,0.636,0.6413333333333334,0.6136666666666666,0.03187475490101846
10,10,30827,22.917818546295166,0.6233333333333333,0.6326666666666666,0.622,0.6319999999999999,0.634,0.6325833333333333,0.03156441825853915
11,11,32192,24.125338792800903,0.6266666666666667,0.624,0.6279999999999999,0.65,0.6246666666666666,0.63375,0.03048508287306725
12,12,32647,25.28147602081299,0.6266666666666667,0.6286666666666667,0.632,0.6153333333333333,0.6126666666666667,0.62075,0.035024693669847666
13,13,32752,25.315427780151367,0.6266666666666667,0.6273333333333333,0.6353333333333333,0.6306666666666667,0.6313333333333333,0.6334166666666666,0.032376796389458375
14,14,32767,25.287559509277344,0.6266666666666667,0.626,0.6266666666666667,0.6386666666666667,0.6393333333333333,0.6368333333333333,0.03284390692689014
15,15,32768,24.847225189208984,0.6266666666666667,0.6286666666666666,0.6233333333333333,0.6393333333333333,0.6326666666666666,0.626,0.026933044552907282
