,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.00299835205078125,0.49666666666666665,0.4893333333333333,0.492,0.4833333333333333,0.5033333333333333,0.4996666666666667,0.028913664589601925
2,2,121,0.026000022888183594,0.6966666666666667,0.6866666666666668,0.6786666666666666,0.6773333333333332,0.6519999999999999,0.6956666666666667,0.025819351054759087
3,3,576,0.13938045501708984,0.7,0.6980000000000001,0.7093333333333334,0.7080000000000001,0.6966666666666667,0.70025,0.028203255328261508
4,4,1941,0.563225269317627,0.6866666666666666,0.6853333333333333,0.6906666666666668,0.6853333333333333,0.6759999999999999,0.6843333333333332,0.028242009686123806
5,5,4944,1.622208595275879,0.6866666666666666,0.6866666666666666,0.6846666666666666,0.6793333333333333,0.654,0.6872499999999999,0.026304968901119965
6,6,9949,3.5008704662323,0.6666666666666666,0.67,0.6653333333333333,0.654,0.6493333333333334,0.6608333333333333,0.026588426889239694
7,7,16384,6.288055896759033,0.66,0.6566666666666666,0.6633333333333333,0.658,0.6493333333333333,0.6609166666666666,0.0264560694569528
8,8,22819,9.442725896835327,0.6533333333333333,0.6473333333333333,0.6626666666666667,0.6519999999999999,0.6300000000000001,0.6534166666666665,0.027809995205561138
9,9,27824,12.178312540054321,0.6566666666666666,0.6513333333333333,0.65,0.638,0.6386666666666667,0.6530833333333332,0.03326879168229589
10,10,30827,13.771240472793579,0.6433333333333333,0.6526666666666666,0.6519999999999999,0.6433333333333333,0.6313333333333333,0.6465,0.021268129521265704
11,11,32192,14.288373708724976,0.6433333333333333,0.6559999999999999,0.6453333333333333,0.6473333333333333,0.6393333333333333,0.6435833333333334,0.03048462727343079
12,12,32647,14.463719844818115,0.6433333333333333,0.6466666666666667,0.6386666666666667,0.6526666666666667,0.642,0.6429166666666667,0.026500131026929746
13,13,32752,14.55776333808899,0.6433333333333333,0.6513333333333333,0.6373333333333334,0.6506666666666667,0.626,0.6447499999999999,0.02740906682914332
14,14,32767,15.215495586395264,0.6433333333333333,0.6366666666666667,0.6506666666666667,0.6413333333333332,0.6393333333333333,0.6495000000000001,0.03219558285783247
15,15,32768,15.05934190750122,0.6433333333333333,0.6413333333333334,0.6439999999999999,0.64,0.6413333333333333,0.639,0.030841890704401086
