,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,16,0.008613348007202148,0.48333333333333334,0.4866666666666667,0.4873333333333333,0.49066666666666664,0.4753333333333333,0.4825000000000001,0.034980153103025595
2,2,121,0.04063916206359863,0.7,0.6900000000000002,0.6866666666666668,0.6773333333333332,0.6579999999999999,0.7065833333333333,0.030619642388506108
3,3,576,0.20682621002197266,0.7066666666666667,0.7100000000000001,0.702,0.7020000000000001,0.6786666666666668,0.7030833333333333,0.02551973637098245
4,4,1941,0.9048774242401123,0.6966666666666667,0.6926666666666665,0.6773333333333332,0.6839999999999999,0.6646666666666667,0.7000833333333334,0.035153334755673525
5,5,4944,2.882005214691162,0.6733333333333333,0.6693333333333333,0.6593333333333333,0.66,0.6439999999999999,0.6720833333333335,0.027019154728122455
6,6,9949,6.265324354171753,0.6666666666666666,0.6579999999999999,0.6559999999999999,0.6506666666666667,0.662,0.6706666666666665,0.03078780422324543
7,7,16384,6.30772590637207,0.6466666666666666,0.6413333333333334,0.6453333333333333,0.6426666666666667,0.6519999999999999,0.64375,0.028458668860881976
8,8,22819,17.73236584663391,0.62,0.6306666666666667,0.6426666666666666,0.638,0.6253333333333334,0.6232500000000001,0.02936941436256433
9,9,27824,21.208874225616455,0.6133333333333333,0.6279999999999999,0.6293333333333333,0.636,0.6266666666666667,0.6044166666666666,0.03840943532808342
10,10,30827,26.019236087799072,0.62,0.6199999999999999,0.6313333333333333,0.6393333333333333,0.6086666666666666,0.6184166666666666,0.027145313694182188
11,11,32192,27.3646981716156,0.6233333333333333,0.6193333333333333,0.6386666666666667,0.6313333333333333,0.622,0.62875,0.03247060636603168
12,12,32647,29.19932985305786,0.6266666666666667,0.622,0.632,0.6266666666666667,0.6293333333333334,0.6240833333333334,0.026696467723069457
13,13,32752,14.650569915771484,0.6266666666666667,0.6220000000000001,0.6313333333333333,0.6273333333333333,0.6253333333333333,0.6205833333333333,0.033534911328014234
14,14,32767,14.821887731552124,0.6266666666666667,0.6293333333333334,0.6186666666666666,0.6313333333333333,0.6333333333333333,0.625,0.030629959915815175
15,15,32768,14.91979193687439,0.6266666666666667,0.628,0.6333333333333334,0.6273333333333333,0.644,0.6301666666666668,0.02624087142861939
