k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
5,"[0, 1, 2, 3, 4, 6]",6,1,"0,1,2,3,4,6",0.8666666666666667,63
5,"[1, 2, 4, 5, 6]",5,2,"1,2,4,5,6",0.8666666666666667,32
5,"[1, 2, 3, 4, 6]",5,2,"1,2,3,4,6",0.8666666666666667,32
5,"[0, 2, 3, 4, 5]",5,2,"0,2,3,4,5",0.8666666666666667,32
5,"[1, 2, 3, 4, 5]",5,2,"1,2,3,4,5",0.8666666666666667,32
5,"[0, 1, 2, 5, 6]",5,2,"0,1,2,5,6",0.8666666666666667,32
5,"[0, 1, 4, 5, 6]",5,2,"0,1,4,5,6",0.8666666666666667,32
5,"[0, 1, 2, 3, 6]",5,2,"0,1,2,3,6",0.8629629629629629,32
5,"[0, 2, 3, 4, 6]",5,2,"0,2,3,4,6",0.8629629629629629,32
5,"[0, 2, 4, 5, 6]",5,2,"0,2,4,5,6",0.8629629629629629,32
5,"[0, 1, 2, 3, 5]",5,2,"0,1,2,3,5",0.8629629629629629,32
5,"[0, 1, 2, 3, 4, 5]",6,1,"0,1,2,3,4,5",0.8629629629629629,63
5,"[0, 1, 2, 4, 5, 6]",6,1,"0,1,2,4,5,6",0.8629629629629629,63
5,"[0, 1, 2, 4, 5]",5,2,"0,1,2,4,5",0.8629629629629629,32
5,"[0, 1, 3, 4, 6]",5,2,"0,1,3,4,6",0.8592592592592593,32
5,"[0, 1, 2, 3, 4]",5,2,"0,1,2,3,4",0.8592592592592593,32
5,"[0, 1, 2, 4, 6]",5,2,"0,1,2,4,6",0.8592592592592593,32
5,"[1, 2, 3, 4, 5, 6]",6,1,"1,2,3,4,5,6",0.8592592592592593,63
5,"[0, 2, 3, 4, 5, 6]",6,1,"0,2,3,4,5,6",0.8518518518518519,63
5,"[2, 3, 4, 5, 6]",5,2,"2,3,4,5,6",0.8518518518518519,32
5,"[0, 1, 2, 3, 4, 5, 6]",7,0,"0,1,2,3,4,5,6",0.8518518518518519,120
5,"[0, 1, 2, 3, 5, 6]",6,1,"0,1,2,3,5,6",0.8518518518518519,63
5,"[1, 2, 3, 5, 6]",5,2,"1,2,3,5,6",0.8518518518518519,32
5,"[0, 2, 3, 5, 6]",5,2,"0,2,3,5,6",0.8481481481481481,32
5,"[0, 1, 3, 5, 6]",5,2,"0,1,3,5,6",0.8481481481481481,32
5,"[0, 1, 3, 4, 5]",5,2,"0,1,3,4,5",0.8444444444444444,32
5,"[0, 1, 3, 4, 5, 6]",6,1,"0,1,3,4,5,6",0.8444444444444444,63
5,"[1, 3, 4, 5, 6]",5,2,"1,3,4,5,6",0.8407407407407408,32
5,"[0, 3, 4, 5, 6]",5,2,"0,3,4,5,6",0.8407407407407408,32
