k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
1,"[0, 1, 3, 4, 5, 6]",6,1,"0,1,3,4,5,6",0.9281345565749235,7
1,"[1, 3, 4, 5, 6]",5,2,"1,3,4,5,6",0.9281345565749235,6
1,"[0, 1, 4, 5, 6]",5,2,"0,1,4,5,6",0.9281345565749235,6
1,"[0, 1, 2, 5, 6]",5,2,"0,1,2,5,6",0.9281345565749235,6
1,"[0, 1, 2, 3, 4, 5, 6]",7,0,"0,1,2,3,4,5,6",0.9273700305810397,8
1,"[0, 1, 2, 4, 5, 6]",6,1,"0,1,2,4,5,6",0.9273700305810397,7
1,"[2, 3, 4, 5, 6]",5,2,"2,3,4,5,6",0.9273700305810397,6
1,"[1, 2, 4, 5, 6]",5,2,"1,2,4,5,6",0.9273700305810397,6
1,"[1, 2, 3, 5, 6]",5,2,"1,2,3,5,6",0.9273700305810397,6
1,"[0, 2, 3, 5, 6]",5,2,"0,2,3,5,6",0.9273700305810397,6
1,"[0, 2, 3, 4, 6]",5,2,"0,2,3,4,6",0.9273700305810397,6
1,"[0, 2, 3, 4, 5, 6]",6,1,"0,2,3,4,5,6",0.9273700305810397,7
1,"[1, 2, 3, 4, 5, 6]",6,1,"1,2,3,4,5,6",0.9273700305810397,7
1,"[0, 2, 3, 4, 5]",5,2,"0,2,3,4,5",0.9273700305810397,6
1,"[0, 2, 4, 5, 6]",5,2,"0,2,4,5,6",0.9273700305810397,6
1,"[0, 1, 2, 3, 4, 5]",6,1,"0,1,2,3,4,5",0.926605504587156,7
1,"[0, 1, 2, 3, 5, 6]",6,1,"0,1,2,3,5,6",0.926605504587156,7
1,"[0, 1, 2, 3, 6]",5,2,"0,1,2,3,6",0.926605504587156,6
1,"[0, 1, 2, 4, 5]",5,2,"0,1,2,4,5",0.926605504587156,6
1,"[0, 1, 3, 4, 6]",5,2,"0,1,3,4,6",0.926605504587156,6
1,"[0, 1, 3, 5, 6]",5,2,"0,1,3,5,6",0.926605504587156,6
1,"[0, 1, 3, 4, 5]",5,2,"0,1,3,4,5",0.9258409785932722,6
1,"[1, 2, 3, 4, 5]",5,2,"1,2,3,4,5",0.9258409785932722,6
1,"[0, 1, 2, 4, 6]",5,2,"0,1,2,4,6",0.9258409785932722,6
1,"[0, 1, 2, 3, 4, 6]",6,1,"0,1,2,3,4,6",0.9250764525993884,7
1,"[1, 2, 3, 4, 6]",5,2,"1,2,3,4,6",0.9250764525993884,6
1,"[0, 3, 4, 5, 6]",5,2,"0,3,4,5,6",0.9250764525993884,6
1,"[0, 1, 2, 3, 5]",5,2,"0,1,2,3,5",0.9250764525993884,6
1,"[0, 1, 2, 3, 4]",5,2,"0,1,2,3,4",0.9243119266055045,6
