k_value,feature_combination,features_kept,features_dropped,kept_indices,accuracy,n_params
1,"[0, 1, 2, 3]",4,0,"0,1,2,3",0.8132295719844358,5
1,"[0, 1, 2]",3,1,"0,1,2",0.8132295719844358,4
1,"[1, 2]",2,2,"1,2",0.7976653696498055,3
1,"[1, 2, 3]",3,1,"1,2,3",0.7937743190661478,4
1,"[0, 2, 3]",3,1,"0,2,3",0.7821011673151751,4
1,"[0, 2]",2,2,"0,2",0.7821011673151751,3
1,"[0, 1]",2,2,"0,1",0.7782101167315175,3
1,"[0, 1, 3]",3,1,"0,1,3",0.77431906614786,4
1,"[1, 3]",2,2,"1,3",0.77431906614786,3
1,"[2, 3]",2,2,"2,3",0.7704280155642024,3
1,"[0, 3]",2,2,"0,3",0.6809338521400778,3
